SKU,Snapshot Date,Available
SHP-00070,2026-08-15,455
SHP-00071,2026-07-15,355
SHP-00071,2026-08-15,291
SHP-00072,2026-07-15,265
SHP-00072,2026-08-15,254
SHP-00073,2026-07-15,694
SHP-00073,2026-08-15,711
SHP-00074,2026-07-15,320
SHP-00074,2026-08-15,358
SHP-00075,2026-07-15,451
SHP-00075,2026-08-15,407
SHP-00076,2026-07-15,621
SHP-00076,2026-08-15,555
SHP-00077,2026-07-15,158
SHP-00077,2026-08-15,90
SHP-00078,2026-07-15,6
SHP-00078,2026-08-15,25
SHP-00079,2026-07-15,619
SHP-00079,2026-08-15,548
SHP-00080,2026-07-15,539
SHP-00080,2026-08-15,577
SHP-00081,2026-07-15,164
SHP-00081,2026-08-15,98
SHP-00082,2026-07-15,360
SHP-00082,2026-08-15,373
SHP-00083,2026-07-15,439
SHP-00083,2026-08-15,421
SHP-00084,2026-07-15,322
SHP-00084,2026-08-15,304
SHP-00085,2026-07-15,342
SHP-00085,2026-08-15,326
SHP-00086,2026-07-15,577
SHP-00086,2026-08-15,603
SHP-00087,2026-07-15,670
SHP-00087,2026-08-15,660
SHP-00088,2026-07-15,390
SHP-00088,2026-08-15,413
SHP-00089,2026-07-15,22
SHP-00089,2026-08-15,2
SHP-00090,2026-07-15,234
SHP-00090,2026-08-15,245
SHP-00091,2026-07-15,617
SHP-00091,2026-08-15,600
SHP-00092,2026-07-15,62
SHP-00092,2026-08-15,70
SHP-00093,2026-07-15,188
SHP-00093,2026-08-15,205
SHP-00094,2026-07-15,449
SHP-00094,2026-08-15,431
SHP-00095,2026-07-15,350
SHP-00095,2026-08-15,345
SHP-00096,2026-07-15,301
SHP-00096,2026-08-15,235
SHP-00097,2026-07-15,599
SHP-00097,2026-08-15,614
SHP-00098,2026-07-15,556
SHP-00098,2026-08-15,511
SHP-00099,2026-07-15,133
SHP-00099,2026-08-15,136
SHP-00100,2026-07-15,6
SHP-00100,2026-08-15,0
SHP-00101,2026-07-15,423
SHP-00101,2026-08-15,438
SHP-00102,2026-07-15,403
SHP-00102,2026-08-15,403
SHP-00103,2026-07-15,338
SHP-00103,2026-08-15,282
SHP-00104,2026-07-15,588
SHP-00104,2026-08-15,562
SHP-00105,2026-07-15,341
SHP-00105,2026-08-15,363
SHP-00106,2026-07-15,156
SHP-00106,2026-08-15,152
SHP-00107,2026-07-15,497
SHP-00107,2026-08-15,431
SHP-00108,2026-07-15,375
SHP-00108,2026-08-15,390
SHP-00109,2026-07-15,41
SHP-00109,2026-08-15,9
SHP-00110,2026-07-15,412
SHP-00110,2026-08-15,353
SHP-00111,2026-07-15,8
SHP-00111,2026-08-15,0
SHP-00112,2026-07-15,626
SHP-00112,2026-08-15,601
SHP-00113,2026-07-15,691
SHP-00113,2026-08-15,735
SHP-00114,2026-07-15,52
SHP-00114,2026-08-15,0
SHP-00115,2026-07-15,443
SHP-00115,2026-08-15,460
SHP-00116,2026-07-15,122
SHP-00116,2026-08-15,102
SHP-00117,2026-07-15,382
SHP-00117,2026-08-15,306
SHP-00118,2026-07-15,244
SHP-00118,2026-08-15,284
SHP-00119,2026-07-15,689
SHP-00119,2026-08-15,641
SHP-00120,2026-07-15,355
SHP-00120,2026-08-15,324
