Item Code,Stock Date,Stock Qty
POS-00088,15/08/2026,631
POS-00089,15/07/2026,13
POS-00089,15/08/2026,10
POS-00090,15/07/2026,697
POS-00090,15/08/2026,687
POS-00091,15/07/2026,73
POS-00091,15/08/2026,88
POS-00092,15/07/2026,367
POS-00092,15/08/2026,328
POS-00093,15/07/2026,119
POS-00093,15/08/2026,156
POS-00094,15/07/2026,109
POS-00094,15/08/2026,136
POS-00095,15/07/2026,619
POS-00095,15/08/2026,628
POS-00096,15/07/2026,608
POS-00096,15/08/2026,639
POS-00097,15/07/2026,625
POS-00097,15/08/2026,554
POS-00098,15/07/2026,383
POS-00098,15/08/2026,409
POS-00099,15/07/2026,134
POS-00099,15/08/2026,149
POS-00100,15/07/2026,18
POS-00100,15/08/2026,0
POS-00101,15/07/2026,199
POS-00101,15/08/2026,227
POS-00102,15/07/2026,93
POS-00102,15/08/2026,38
POS-00103,15/07/2026,491
POS-00103,15/08/2026,531
POS-00104,15/07/2026,274
POS-00104,15/08/2026,232
POS-00105,15/07/2026,542
POS-00105,15/08/2026,464
POS-00106,15/07/2026,665
POS-00106,15/08/2026,701
POS-00107,15/07/2026,146
POS-00107,15/08/2026,105
POS-00108,15/07/2026,493
POS-00108,15/08/2026,458
POS-00109,15/07/2026,354
POS-00109,15/08/2026,304
POS-00110,15/07/2026,185
POS-00110,15/08/2026,197
POS-00111,15/07/2026,16
POS-00111,15/08/2026,34
POS-00112,15/07/2026,574
POS-00112,15/08/2026,610
POS-00113,15/07/2026,213
POS-00113,15/08/2026,183
POS-00114,15/07/2026,433
POS-00114,15/08/2026,435
POS-00115,15/07/2026,668
POS-00115,15/08/2026,703
POS-00116,15/07/2026,654
POS-00116,15/08/2026,694
POS-00117,15/07/2026,580
POS-00117,15/08/2026,575
POS-00118,15/07/2026,447
POS-00118,15/08/2026,467
POS-00119,15/07/2026,107
POS-00119,15/08/2026,57
POS-00120,15/07/2026,387
POS-00120,15/08/2026,388
