Order Id,SKU,Order Date,Quantity,Selling Price,Discount,Marketplace Fee,Shipping Charge,Taxes
FK-260813-00056,FK-00074,13-08-2026,2,2393.10,257.89,257.45,0.00,210.18
FK-260531-00057,FK-00099,31-05-2026,1,482.86,54.76,49.38,80.00,77.02
FK-260515-00058,FK-00105,15-05-2026,1,325.91,30.75,40.14,60.00,39.14
FK-260611-00059,FK-00057,11-06-2026,1,565.05,18.77,75.57,60.00,62.53
FK-260803-00060,FK-00111,03-08-2026,2,1001.72,13.77,102.58,40.00,65.89
FK-260809-00061,FK-00019,09-08-2026,4,8083.24,218.11,946.21,0.00,570.54
FK-260704-00062,FK-00016,04-07-2026,1,1307.63,183.13,169.94,80.00,59.64
FK-260626-00063,FK-00023,26-06-2026,1,3872.11,208.40,396.60,120.00,196.21
FK-260721-00064,FK-00040,21-07-2026,1,1659.61,257.52,204.66,120.00,63.25
FK-260820-00065,FK-00014,20-08-2026,1,3168.65,143.71,344.11,40.00,351.13
FK-260524-00066,FK-00031,24-05-2026,1,1697.25,252.71,223.19,60.00,152.92
FK-260721-00067,FK-00024,21-07-2026,2,2828.70,396.06,316.86,60.00,296.88
FK-260726-00068,FK-00090,26-07-2026,1,1163.66,44.93,141.69,60.00,43.75
FK-260525-00069,FK-00112,25-05-2026,1,1311.26,172.43,159.66,60.00,87.04
FK-260506-00070,FK-00105,06-05-2026,2,702.02,23.60,74.08,40.00,120.00
FK-260716-00071,FK-00075,16-07-2026,3,1812.84,216.29,235.45,60.00,68.13
FK-260704-00072,FK-00079,04-07-2026,2,3655.88,439.19,489.94,0.00,237.84
FK-260623-00073,FK-00059,23-06-2026,3,9157.23,1038.71,964.22,60.00,1398.19
FK-260622-00074,FK-00070,22-06-2026,1,1580.39,187.71,193.67,0.00,140.85
FK-260619-00075,FK-00022,19-06-2026,1,2894.18,398.09,334.59,0.00,300.44
FK-260615-00076,FK-00057,15-06-2026,3,1625.31,59.84,207.10,0.00,278.35
FK-260818-00077,FK-00087,18-08-2026,2,501.20,50.97,67.80,0.00,39.15
FK-260623-00078,FK-00081,23-06-2026,3,1122.54,175.19,140.46,40.00,93.93
FK-260803-00079,FK-00082,03-08-2026,4,10569.72,164.96,1375.99,0.00,1324.18
FK-260812-00080,FK-00073,12-08-2026,2,1397.68,33.92,156.14,40.00,85.01
FK-260805-00081,FK-00028,05-08-2026,2,3427.10,484.08,404.59,40.00,253.36
FK-260718-00082,FK-00110,18-07-2026,1,1608.44,115.41,219.88,0.00,48.43
FK-260704-00083,FK-00009,04-07-2026,3,3123.57,453.20,387.31,80.00,215.29
FK-260801-00084,FK-00011,01-08-2026,2,4424.56,80.64,575.69,0.00,559.92
FK-260704-00085,FK-00099,04-07-2026,3,1480.71,107.47,200.02,0.00,153.83
FK-260521-00086,FK-00047,21-05-2026,3,6058.59,935.04,628.33,120.00,511.46
FK-260608-00087,FK-00032,08-06-2026,1,3857.42,104.89,420.59,0.00,649.11
FK-260724-00088,FK-00007,24-07-2026,4,11554.24,1249.74,1447.42,80.00,821.49
FK-260503-00089,FK-00053,03-05-2026,1,735.81,30.04,92.44,120.00,96.46
FK-260627-00090,FK-00001,27-06-2026,1,678.06,73.05,75.82,60.00,42.71
FK-260819-00091,FK-00079,19-08-2026,1,1887.35,137.15,205.62,0.00,102.50
FK-260531-00092,FK-00034,31-05-2026,2,5734.26,866.05,770.91,0.00,457.71
FK-260723-00093,FK-00065,23-07-2026,1,1922.03,234.03,199.98,0.00,264.10
FK-260505-00094,FK-00009,05-05-2026,3,2916.54,80.74,304.17,0.00,508.75
FK-260618-00095,FK-00033,18-06-2026,3,1436.70,163.60,156.05,60.00,202.12
FK-260520-00096,FK-00041,20-05-2026,1,1453.80,28.79,165.65,60.00,82.54
FK-260811-00097,FK-00006,11-08-2026,1,1575.27,78.66,215.37,0.00,265.40
FK-260507-00098,FK-00114,07-05-2026,1,848.24,93.73,92.28,80.00,33.52
FK-260805-00099,FK-00065,05-08-2026,1,1982.81,213.19,272.53,60.00,241.76
FK-260610-00100,FK-00058,10-06-2026,2,1867.86,108.99,224.63,0.00,53.92
FK-260731-00101,FK-00075,31-07-2026,4,2492.48,69.30,261.46,0.00,93.67
FK-260518-00102,FK-00113,18-05-2026,2,5163.94,238.22,531.71,120.00,291.87
FK-260628-00103,FK-00030,28-06-2026,2,2881.48,178.91,303.67,60.00,306.07
FK-260708-00104,FK-00068,08-07-2026,1,4659.94,687.99,584.25,120.00,665.31
FK-260810-00105,FK-00064,10-08-2026,4,4826.76,48.32,508.90,0.00,221.83
FK-260521-00106,FK-00076,21-05-2026,1,1021.98,96.51,131.76,60.00,48.09
FK-260713-00107,FK-00031,13-07-2026,1,1730.44,91.53,227.08,0.00,116.59
FK-260604-00108,FK-00005,04-06-2026,3,6220.02,803.96,678.07,60.00,712.63
FK-260611-00109,FK-00036,11-06-2026,2,1127.38,20.22,119.05,40.00,119.29
FK-260502-00110,FK-00062,02-05-2026,1,1425.01,64.95,161.87,0.00,113.27
FK-260822-00111,FK-00079,22-08-2026,4,8104.32,388.91,988.92,40.00,364.36
FK-260603-00112,FK-00036,03-06-2026,1,594.30,44.94,72.45,80.00,96.52
FK-260822-00113,FK-00050,22-08-2026,1,3126.58,402.20,353.66,40.00,123.18
FK-260524-00114,FK-00033,24-05-2026,2,883.04,98.35,105.24,0.00,31.99
FK-260508-00115,FK-00101,08-05-2026,1,1253.73,153.14,134.21,0.00,190.11
FK-260607-00116,FK-00113,07-06-2026,4,10986.92,1247.98,1444.93,60.00,1320.77
FK-260619-00117,FK-00022,19-06-2026,1,2914.93,49.09,300.85,40.00,371.69
FK-260513-00118,FK-00005,13-05-2026,1,2087.08,213.29,244.52,0.00,232.86
FK-260516-00119,FK-00005,16-05-2026,1,2130.12,245.55,254.97,40.00,220.22
FK-260502-00120,FK-00029,02-05-2026,1,1987.65,158.05,204.64,120.00,186.41
FK-260627-00121,FK-00017,27-06-2026,4,7911.84,1265.15,820.50,0.00,915.94
FK-260525-00122,FK-00111,25-05-2026,1,518.30,5.93,70.35,0.00,87.11
FK-260803-00123,FK-00064,03-08-2026,2,2504.08,25.63,264.59,60.00,348.52
FK-260803-00124,FK-00012,03-08-2026,1,997.98,69.31,130.58,0.00,126.44
FK-260525-00125,FK-00067,25-05-2026,2,3018.72,409.95,332.15,80.00,276.45
FK-260627-00126,FK-00009,27-06-2026,4,3753.52,145.74,430.34,0.00,306.67
FK-260707-00127,FK-00041,07-07-2026,2,2885.30,240.41,379.66,120.00,214.29
FK-260524-00128,FK-00045,24-05-2026,1,316.66,34.04,39.02,0.00,42.20
FK-260609-00129,FK-00106,09-06-2026,3,4660.83,86.58,530.60,0.00,163.80
FK-260605-00130,FK-00025,05-06-2026,1,1378.73,106.02,173.73,0.00,167.60
FK-260522-00131,FK-00104,22-05-2026,1,3141.96,299.83,357.84,0.00,219.43
FK-260609-00132,FK-00071,09-06-2026,2,3130.68,220.92,323.42,60.00,476.93
FK-260502-00133,FK-00105,02-05-2026,3,1034.34,70.23,139.59,0.00,30.39
FK-260605-00134,FK-00064,05-06-2026,1,1251.23,173.43,152.71,120.00,181.46
FK-260707-00135,FK-00063,07-07-2026,1,252.88,38.22,28.24,60.00,20.58
FK-260617-00136,FK-00106,17-06-2026,1,1743.54,7.91,236.02,60.00,244.84
FK-260727-00137,FK-00103,27-07-2026,1,1467.44,152.14,193.76,0.00,53.04
FK-260629-00138,FK-00053,29-06-2026,2,1578.02,205.14,175.26,120.00,147.43
FK-260726-00139,FK-00106,26-07-2026,2,3359.84,72.02,349.28,0.00,350.73
FK-260714-00140,FK-00057,14-07-2026,1,566.81,71.35,75.16,0.00,19.12
FK-260629-00141,FK-00034,29-06-2026,3,8570.61,552.10,1037.32,0.00,426.01
FK-260813-00142,FK-00082,13-08-2026,1,2654.09,348.90,323.99,120.00,263.67
FK-260623-00143,FK-00109,23-06-2026,4,8650.04,777.73,982.68,0.00,624.41
FK-260711-00144,FK-00053,11-07-2026,1,732.32,22.01,84.30,60.00,25.62
FK-260518-00145,FK-00013,18-05-2026,4,8486.60,1027.28,1116.66,0.00,590.89
FK-260806-00146,FK-00005,06-08-2026,2,4073.36,22.87,530.20,40.00,723.54
FK-260524-00147,FK-00036,24-05-2026,4,2138.24,270.91,278.88,120.00,182.39
FK-260616-00148,FK-00042,16-06-2026,1,1401.09,177.77,158.11,0.00,150.42
FK-260804-00149,FK-00058,04-08-2026,1,887.11,63.46,103.56,120.00,92.95
FK-260722-00150,FK-00046,22-07-2026,2,5092.98,740.76,622.95,40.00,739.08
FK-260610-00151,FK-00035,10-06-2026,1,3655.27,329.26,471.49,60.00,449.00
FK-260606-00152,FK-00027,06-06-2026,2,1023.48,81.61,104.49,80.00,111.37
FK-260703-00153,FK-00115,03-07-2026,3,6505.44,849.72,841.15,60.00,777.99
FK-260619-00154,FK-00041,19-06-2026,1,1464.71,133.70,183.40,80.00,40.06
FK-260504-00155,FK-00117,04-05-2026,2,800.32,103.71,89.64,40.00,92.10
FK-260712-00156,FK-00063,12-07-2026,4,1065.56,165.59,137.66,60.00,151.05
FK-260810-00157,FK-00110,10-08-2026,2,3144.76,385.11,419.06,0.00,298.40
FK-260711-00158,FK-00102,11-07-2026,1,1602.49,110.85,172.31,0.00,69.05
FK-260825-00159,FK-00046,25-08-2026,3,6939.69,18.31,748.91,40.00,699.21
FK-260605-00160,FK-00076,05-06-2026,2,1908.06,180.79,215.48,80.00,91.83
FK-260727-00161,FK-00041,27-07-2026,4,6200.96,223.48,737.63,40.00,475.23
FK-260825-00162,FK-00051,25-08-2026,1,700.77,95.53,85.43,120.00,96.57
FK-260518-00163,FK-00034,18-05-2026,1,2731.10,349.19,369.60,40.00,249.49
FK-260621-00164,FK-00062,21-06-2026,2,2769.68,223.32,300.90,40.00,421.87
FK-260608-00165,FK-00036,08-06-2026,4,2372.00,183.27,268.14,80.00,340.52
FK-260828-00166,FK-00022,28-08-2026,3,8726.43,622.34,1011.68,0.00,634.94
FK-260620-00167,FK-00017,20-06-2026,3,6300.39,74.31,822.28,0.00,901.92
FK-260710-00168,FK-00076,10-07-2026,1,1037.03,132.86,123.85,80.00,80.08
FK-260616-00169,FK-00090,16-06-2026,3,3823.95,200.72,401.99,0.00,546.74
FK-260627-00170,FK-00032,27-06-2026,1,4155.21,586.95,489.40,120.00,616.21
FK-260601-00171,FK-00082,01-06-2026,1,2523.38,88.84,257.75,0.00,414.68
FK-260530-00172,FK-00061,30-05-2026,1,2134.10,77.09,242.84,0.00,264.13
FK-260502-00173,FK-00063,02-05-2026,2,509.06,56.57,54.85,120.00,38.38
FK-260604-00174,FK-00101,04-06-2026,1,1322.84,58.74,174.72,120.00,123.42
FK-260610-00175,FK-00049,10-06-2026,2,4835.54,520.26,526.26,40.00,545.49
FK-260730-00176,FK-00025,30-07-2026,1,1385.14,92.12,144.37,120.00,153.03
FK-260509-00177,FK-00069,09-05-2026,3,2085.96,178.35,215.04,0.00,136.37
FK-260718-00178,FK-00014,18-07-2026,3,9186.21,1110.98,1065.75,0.00,666.26
FK-260621-00179,FK-00033,21-06-2026,1,453.95,15.27,49.62,120.00,33.51
FK-260813-00180,FK-00092,13-08-2026,1,1231.06,82.15,128.11,0.00,186.03
FK-260818-00181,FK-00027,18-08-2026,1,556.01,60.45,65.12,120.00,32.74
FK-260610-00182,FK-00041,10-06-2026,1,1458.54,134.38,180.84,0.00,111.22
FK-260505-00183,FK-00089,05-05-2026,1,2863.49,402.41,350.99,0.00,192.72
FK-260814-00184,FK-00036,14-08-2026,1,584.45,15.99,69.86,0.00,53.35
FK-260731-00185,FK-00011,31-07-2026,1,2247.64,342.46,260.12,0.00,232.95
FK-260529-00186,FK-00083,29-05-2026,1,3184.26,276.42,373.35,60.00,415.22
FK-260711-00187,FK-00035,11-07-2026,1,3305.63,227.44,366.22,0.00,500.21
FK-260827-00188,FK-00051,27-08-2026,2,1391.88,34.10,175.55,60.00,108.20
FK-260814-00189,FK-00098,14-08-2026,1,2344.70,284.50,302.83,80.00,368.44
FK-260816-00190,FK-00107,16-08-2026,3,12262.38,1573.12,1460.54,80.00,1819.34
FK-260707-00191,FK-00020,07-07-2026,2,2835.38,195.69,370.80,40.00,403.76
FK-260712-00192,FK-00103,12-07-2026,4,5882.16,712.37,792.02,0.00,881.15
FK-260719-00193,FK-00054,19-07-2026,2,2304.12,359.43,295.14,60.00,132.73
FK-260804-00194,FK-00116,04-08-2026,3,8621.52,260.66,1037.92,40.00,1324.98
FK-260514-00195,FK-00002,14-05-2026,1,2996.36,420.16,327.23,80.00,196.91
FK-260729-00196,FK-00103,29-07-2026,1,1425.09,171.31,163.00,40.00,124.99
FK-260603-00197,FK-00058,03-06-2026,1,940.58,24.84,107.01,0.00,163.21
FK-260607-00198,FK-00049,07-06-2026,1,2184.03,276.07,249.27,0.00,203.93
FK-260605-00199,FK-00027,05-06-2026,2,1118.50,172.03,147.02,60.00,125.03
FK-260612-00200,FK-00057,12-06-2026,3,1717.74,21.51,234.69,40.00,243.75
FK-260628-00201,FK-00080,28-06-2026,1,3882.22,140.50,525.66,80.00,406.81
FK-260703-00202,FK-00024,03-07-2026,4,5409.60,604.27,615.03,0.00,303.86
FK-260808-00203,FK-00002,08-08-2026,1,3114.51,325.45,404.95,0.00,355.15
FK-260502-00204,FK-00078,02-05-2026,1,595.53,19.69,64.56,0.00,44.26
FK-260507-00205,FK-00033,07-05-2026,1,474.97,47.85,62.09,0.00,72.76
FK-260809-00206,FK-00113,09-08-2026,2,5442.16,53.63,631.56,0.00,509.93
FK-260510-00207,FK-00119,10-05-2026,1,4170.57,561.15,519.65,0.00,524.37
FK-260706-00208,FK-00013,06-07-2026,2,4265.60,371.95,485.44,0.00,274.94
FK-260716-00209,FK-00097,16-07-2026,4,6015.08,597.58,715.35,60.00,498.74
FK-260510-00210,FK-00035,10-05-2026,1,3589.63,22.94,402.71,40.00,532.34
FK-260812-00211,FK-00043,12-08-2026,2,1745.06,169.80,209.93,60.00,273.88
FK-260716-00212,FK-00045,16-07-2026,2,612.64,27.77,68.61,60.00,54.75
FK-260810-00213,FK-00113,10-08-2026,1,2734.24,96.20,321.96,0.00,397.40
FK-260622-00214,FK-00081,22-06-2026,2,723.50,3.27,82.75,0.00,94.63
FK-260706-00215,FK-00027,06-07-2026,4,2139.28,88.10,254.18,0.00,252.33
FK-260810-00216,FK-00017,10-08-2026,1,1941.90,37.25,226.90,0.00,342.56
FK-260519-00217,FK-00025,19-05-2026,1,1288.13,86.27,173.80,120.00,165.40
FK-260814-00218,FK-00057,14-08-2026,2,1182.10,7.44,156.72,40.00,209.13
FK-260620-00219,FK-00100,20-06-2026,4,5804.36,616.02,701.36,0.00,557.12
FK-260822-00220,FK-00101,22-08-2026,4,5093.00,326.01,554.75,60.00,238.47
FK-260728-00221,FK-00052,28-07-2026,1,1145.23,97.18,144.37,80.00,90.29
FK-260625-00222,FK-00012,25-06-2026,3,3202.35,420.09,381.35,120.00,296.86
FK-260604-00223,FK-00098,04-06-2026,3,6645.33,324.20,808.17,0.00,681.45
FK-260801-00224,FK-00047,01-08-2026,2,3739.14,518.60,505.63,40.00,263.76
FK-260607-00225,FK-00008,07-06-2026,1,2768.12,367.01,373.03,40.00,122.04
FK-260803-00226,FK-00079,03-08-2026,2,3859.14,22.24,430.25,60.00,401.20
FK-260604-00227,FK-00054,04-06-2026,1,1200.65,17.91,130.49,60.00,48.44
FK-260608-00228,FK-00099,08-06-2026,1,491.85,69.39,51.78,60.00,25.97
FK-260811-00229,FK-00105,11-08-2026,4,1365.28,209.49,174.40,0.00,198.40
FK-260506-00230,FK-00014,06-05-2026,1,3433.91,520.26,399.21,60.00,133.74
FK-260703-00231,FK-00041,03-07-2026,1,1515.60,66.41,159.52,0.00,118.44
FK-260719-00232,FK-00051,19-07-2026,1,729.37,16.73,78.20,0.00,123.34
FK-260726-00233,FK-00119,26-07-2026,2,7732.50,250.30,827.52,0.00,285.94
FK-260825-00234,FK-00083,25-08-2026,1,3182.24,224.55,351.42,60.00,346.60
FK-260527-00235,FK-00002,27-05-2026,1,2985.00,222.92,411.53,0.00,493.21
FK-260705-00236,FK-00106,05-07-2026,4,6253.04,323.73,640.99,0.00,389.30
FK-260810-00237,FK-00081,10-08-2026,1,355.96,10.27,40.88,40.00,47.50
FK-260619-00238,FK-00114,19-06-2026,3,2525.52,74.41,271.47,0.00,255.64
FK-260530-00239,FK-00050,30-05-2026,1,3218.49,88.76,333.27,60.00,530.38
FK-260531-00240,FK-00051,31-05-2026,2,1426.06,103.31,182.49,40.00,57.09
FK-260826-00241,FK-00108,26-08-2026,1,2220.15,320.54,302.14,0.00,283.93
FK-260723-00242,FK-00053,23-07-2026,2,1504.54,217.90,172.69,60.00,137.20
FK-260526-00243,FK-00093,26-05-2026,2,1296.68,81.48,171.79,40.00,93.57
FK-260506-00244,FK-00064,06-05-2026,1,1275.72,153.80,172.59,80.00,56.42
FK-260702-00245,FK-00091,02-07-2026,1,1370.33,58.12,175.17,0.00,111.55
FK-260522-00246,FK-00053,22-05-2026,4,3033.88,217.76,402.26,60.00,434.33
FK-260607-00247,FK-00023,07-06-2026,1,3814.03,488.24,485.65,120.00,582.09
FK-260623-00248,FK-00091,23-06-2026,1,1349.06,170.34,171.37,60.00,85.10
FK-260814-00249,FK-00098,14-08-2026,4,8857.08,917.05,959.16,0.00,738.02
FK-260806-00250,FK-00012,06-08-2026,1,1080.73,99.25,127.77,0.00,52.45
FK-260610-00251,FK-00021,10-06-2026,1,1158.14,57.38,156.62,0.00,122.21
FK-260503-00252,FK-00036,03-05-2026,2,1076.46,30.68,139.44,60.00,47.21
FK-260622-00253,FK-00069,22-06-2026,3,1941.84,100.42,241.54,0.00,218.51
FK-260701-00254,FK-00041,01-07-2026,2,2886.28,304.22,326.18,120.00,294.25
FK-260721-00255,FK-00038,21-07-2026,4,11882.28,1383.81,1433.82,0.00,1756.38
FK-260714-00256,FK-00038,14-07-2026,1,2991.42,239.46,333.97,80.00,399.53
FK-260612-00257,FK-00105,12-06-2026,2,673.58,52.11,88.06,120.00,107.30
FK-260618-00258,FK-00072,18-06-2026,4,9164.96,223.72,1092.96,0.00,964.01
FK-260701-00259,FK-00068,01-07-2026,3,13929.45,1396.99,1676.71,120.00,1179.48
FK-260611-00260,FK-00018,11-06-2026,2,3054.82,418.37,399.10,0.00,359.59
FK-260501-00261,FK-00077,01-05-2026,1,1632.74,100.05,181.54,40.00,155.05
FK-260512-00262,FK-00008,12-05-2026,1,2733.86,181.82,331.79,60.00,172.26
FK-260626-00263,FK-00040,26-06-2026,1,1617.18,1.64,169.09,40.00,268.43
FK-260528-00264,FK-00082,28-05-2026,1,2530.36,113.45,294.20,0.00,384.29
FK-260504-00265,FK-00020,04-05-2026,2,2558.54,165.45,303.30,0.00,264.37
FK-260525-00266,FK-00107,25-05-2026,4,16866.60,796.27,2057.73,60.00,2384.16
FK-260706-00267,FK-00042,06-07-2026,2,2769.78,398.32,295.22,120.00,329.31
FK-260611-00268,FK-00106,11-06-2026,2,3464.76,447.28,370.11,40.00,137.66
FK-260822-00269,FK-00021,22-08-2026,1,1068.68,123.74,141.16,40.00,106.64
FK-260828-00270,FK-00109,28-08-2026,1,2174.11,307.72,229.77,40.00,104.99
FK-260509-00271,FK-00082,09-05-2026,1,2401.23,236.06,309.85,80.00,307.30
FK-260721-00272,FK-00028,21-07-2026,1,1757.81,56.95,201.87,0.00,229.43
FK-260601-00273,FK-00008,01-06-2026,1,2778.55,82.48,290.53,0.00,355.47
FK-260531-00274,FK-00023,31-05-2026,4,14852.32,33.49,1596.64,60.00,1188.02
FK-260707-00275,FK-00099,07-07-2026,1,518.52,14.64,57.66,120.00,57.19
FK-260722-00276,FK-00090,22-07-2026,4,5055.52,625.26,546.94,0.00,177.54
FK-260805-00277,FK-00059,05-08-2026,1,3151.68,330.45,415.43,120.00,416.00
FK-260625-00278,FK-00017,25-06-2026,1,2093.32,88.20,215.09,40.00,317.16
FK-260712-00279,FK-00118,12-07-2026,1,1277.91,30.64,154.76,80.00,72.36
FK-260721-00280,FK-00002,21-07-2026,3,8739.66,650.47,979.23,0.00,1402.89
FK-260727-00281,FK-00070,27-07-2026,4,6235.20,815.01,750.88,120.00,720.24
FK-260629-00282,FK-00039,29-06-2026,1,501.49,60.74,59.79,80.00,79.22
FK-260724-00283,FK-00016,24-07-2026,3,3583.50,24.12,476.04,120.00,322.88
FK-260710-00284,FK-00108,10-07-2026,1,2134.60,121.37,227.70,60.00,246.27
FK-260821-00285,FK-00005,21-08-2026,4,9112.32,315.49,1127.84,0.00,1575.88
FK-260601-00286,FK-00024,01-06-2026,1,1306.16,123.28,152.18,0.00,179.13
FK-260521-00287,FK-00025,21-05-2026,1,1374.11,151.28,175.47,60.00,123.22
FK-260608-00288,FK-00023,08-06-2026,4,14531.52,292.08,1662.31,0.00,1609.44
FK-260502-00289,FK-00093,02-05-2026,4,2725.28,347.98,358.40,60.00,163.53
FK-260623-00290,FK-00034,23-06-2026,1,2951.49,372.06,343.23,60.00,407.67
FK-260817-00291,FK-00071,17-08-2026,3,4987.02,47.01,607.59,40.00,297.55
FK-260503-00292,FK-00039,03-05-2026,1,504.28,74.26,68.50,80.00,19.46
FK-260814-00293,FK-00039,14-08-2026,1,504.29,5.67,51.89,40.00,16.32
FK-260709-00294,FK-00096,09-07-2026,2,3145.38,62.71,347.36,80.00,355.38
FK-260611-00295,FK-00065,11-06-2026,2,3864.54,542.38,509.98,120.00,358.59
FK-260828-00296,FK-00067,28-08-2026,1,1556.00,12.93,197.45,0.00,252.87
FK-260701-00297,FK-00104,01-07-2026,4,12417.08,1473.54,1508.76,0.00,726.84
FK-260816-00298,FK-00112,16-08-2026,2,2608.20,49.30,321.32,120.00,259.22
FK-260725-00299,FK-00053,25-07-2026,1,734.17,13.96,79.26,40.00,76.92
FK-260526-00300,FK-00113,26-05-2026,2,5547.64,173.30,571.09,0.00,883.77
FK-260802-00301,FK-00116,02-08-2026,2,5757.82,434.46,777.02,0.00,832.06
FK-260701-00302,FK-00061,01-07-2026,1,2275.51,211.90,294.38,0.00,124.13
FK-260530-00303,FK-00032,30-05-2026,2,7813.80,548.96,1009.81,60.00,414.47
FK-260810-00304,FK-00041,10-08-2026,1,1534.31,183.28,171.59,80.00,44.47
FK-260817-00305,FK-00093,17-08-2026,1,714.52,42.94,77.08,60.00,108.29
FK-260717-00306,FK-00060,17-07-2026,1,1629.69,39.28,211.71,0.00,109.03
FK-260821-00307,FK-00115,21-08-2026,2,4266.36,348.59,462.86,0.00,296.74
FK-260529-00308,FK-00062,29-05-2026,2,2730.38,165.69,292.07,0.00,148.78
FK-260604-00309,FK-00018,04-06-2026,1,1490.97,215.17,172.05,0.00,197.37
