sku,date,quantity-available
AMZ-00037,2026-08-15,378
AMZ-00038,2026-07-15,156
AMZ-00038,2026-08-15,120
AMZ-00039,2026-07-15,508
AMZ-00039,2026-08-15,552
AMZ-00040,2026-07-15,237
AMZ-00040,2026-08-15,157
AMZ-00041,2026-07-15,203
AMZ-00041,2026-08-15,218
AMZ-00042,2026-07-15,262
AMZ-00042,2026-08-15,221
AMZ-00043,2026-07-15,411
AMZ-00043,2026-08-15,453
AMZ-00044,2026-07-15,71
AMZ-00044,2026-08-15,39
AMZ-00045,2026-07-15,2
AMZ-00045,2026-08-15,38
AMZ-00046,2026-07-15,65
AMZ-00046,2026-08-15,0
AMZ-00047,2026-07-15,688
AMZ-00047,2026-08-15,721
AMZ-00048,2026-07-15,632
AMZ-00048,2026-08-15,603
AMZ-00049,2026-07-15,496
AMZ-00049,2026-08-15,454
AMZ-00050,2026-07-15,105
AMZ-00050,2026-08-15,55
AMZ-00051,2026-07-15,311
AMZ-00051,2026-08-15,277
AMZ-00052,2026-07-15,553
AMZ-00052,2026-08-15,544
AMZ-00053,2026-07-15,592
AMZ-00053,2026-08-15,632
AMZ-00054,2026-07-15,116
AMZ-00054,2026-08-15,38
AMZ-00055,2026-07-15,200
AMZ-00055,2026-08-15,157
AMZ-00056,2026-07-15,11
AMZ-00056,2026-08-15,0
AMZ-00057,2026-07-15,193
AMZ-00057,2026-08-15,177
AMZ-00058,2026-07-15,561
AMZ-00058,2026-08-15,508
AMZ-00059,2026-07-15,513
AMZ-00059,2026-08-15,462
AMZ-00060,2026-07-15,602
AMZ-00060,2026-08-15,597
AMZ-00061,2026-07-15,235
AMZ-00061,2026-08-15,209
AMZ-00062,2026-07-15,164
AMZ-00062,2026-08-15,100
AMZ-00063,2026-07-15,142
AMZ-00063,2026-08-15,78
AMZ-00064,2026-07-15,349
AMZ-00064,2026-08-15,274
AMZ-00065,2026-07-15,588
AMZ-00065,2026-08-15,587
AMZ-00066,2026-07-15,483
AMZ-00066,2026-08-15,508
AMZ-00067,2026-07-15,12
AMZ-00067,2026-08-15,51
AMZ-00068,2026-07-15,437
AMZ-00068,2026-08-15,398
AMZ-00069,2026-07-15,162
AMZ-00069,2026-08-15,193
AMZ-00070,2026-07-15,165
AMZ-00070,2026-08-15,120
AMZ-00071,2026-07-15,369
AMZ-00071,2026-08-15,304
AMZ-00072,2026-07-15,161
AMZ-00072,2026-08-15,88
AMZ-00073,2026-07-15,537
AMZ-00073,2026-08-15,562
AMZ-00074,2026-07-15,609
AMZ-00074,2026-08-15,631
AMZ-00075,2026-07-15,80
AMZ-00075,2026-08-15,83
AMZ-00076,2026-07-15,347
AMZ-00076,2026-08-15,374
AMZ-00077,2026-07-15,319
AMZ-00077,2026-08-15,311
AMZ-00078,2026-07-15,24
AMZ-00078,2026-08-15,0
AMZ-00079,2026-07-15,175
AMZ-00079,2026-08-15,145
AMZ-00080,2026-07-15,443
AMZ-00080,2026-08-15,431
AMZ-00081,2026-07-15,274
AMZ-00081,2026-08-15,248
AMZ-00082,2026-07-15,439
AMZ-00082,2026-08-15,422
AMZ-00083,2026-07-15,321
AMZ-00083,2026-08-15,267
AMZ-00084,2026-07-15,504
AMZ-00084,2026-08-15,440
AMZ-00085,2026-07-15,77
AMZ-00085,2026-08-15,51
AMZ-00086,2026-07-15,362
AMZ-00086,2026-08-15,353
AMZ-00087,2026-07-15,394
AMZ-00087,2026-08-15,345
AMZ-00088,2026-07-15,510
AMZ-00088,2026-08-15,536
AMZ-00089,2026-07-15,9
AMZ-00089,2026-08-15,0
AMZ-00090,2026-07-15,303
AMZ-00090,2026-08-15,245
AMZ-00091,2026-07-15,315
AMZ-00091,2026-08-15,335
AMZ-00092,2026-07-15,544
AMZ-00092,2026-08-15,573
AMZ-00093,2026-07-15,187
AMZ-00093,2026-08-15,179
AMZ-00094,2026-07-15,270
AMZ-00094,2026-08-15,255
AMZ-00095,2026-07-15,41
AMZ-00095,2026-08-15,0
AMZ-00096,2026-07-15,296
AMZ-00096,2026-08-15,274
AMZ-00097,2026-07-15,284
AMZ-00097,2026-08-15,315
AMZ-00098,2026-07-15,541
AMZ-00098,2026-08-15,468
AMZ-00099,2026-07-15,597
AMZ-00099,2026-08-15,586
AMZ-00100,2026-07-15,2
AMZ-00100,2026-08-15,0
AMZ-00101,2026-07-15,469
AMZ-00101,2026-08-15,455
AMZ-00102,2026-07-15,438
AMZ-00102,2026-08-15,474
AMZ-00103,2026-07-15,65
AMZ-00103,2026-08-15,18
AMZ-00104,2026-07-15,512
AMZ-00104,2026-08-15,528
AMZ-00105,2026-07-15,351
AMZ-00105,2026-08-15,366
AMZ-00106,2026-07-15,51
AMZ-00106,2026-08-15,90
AMZ-00107,2026-07-15,68
AMZ-00107,2026-08-15,109
AMZ-00108,2026-07-15,593
AMZ-00108,2026-08-15,581
AMZ-00109,2026-07-15,59
AMZ-00109,2026-08-15,62
AMZ-00110,2026-07-15,277
AMZ-00110,2026-08-15,300
AMZ-00111,2026-07-15,8
AMZ-00111,2026-08-15,0
AMZ-00112,2026-07-15,211
AMZ-00112,2026-08-15,238
AMZ-00113,2026-07-15,530
AMZ-00113,2026-08-15,508
AMZ-00114,2026-07-15,398
AMZ-00114,2026-08-15,412
AMZ-00115,2026-07-15,360
AMZ-00115,2026-08-15,362
AMZ-00116,2026-07-15,122
AMZ-00116,2026-08-15,154
AMZ-00117,2026-07-15,508
AMZ-00117,2026-08-15,530
AMZ-00118,2026-07-15,391
AMZ-00118,2026-08-15,417
AMZ-00119,2026-07-15,167
AMZ-00119,2026-08-15,171
AMZ-00120,2026-07-15,389
AMZ-00120,2026-08-15,404
