Return Id,Order Id,SKU,Return Date,Quantity,Return Reason,Refund Amount
FK-RET-00027,FK-260722-00328,FK-00050,09-08-2026,3,Wrong item received,8605.46
FK-RET-00028,FK-260731-00185,FK-00011,08-08-2026,1,Size or fit issue,1858.4
FK-RET-00029,FK-260619-00400,FK-00111,27-06-2026,2,Late delivery,978.4
FK-RET-00030,FK-260507-00098,FK-00114,01-08-2026,1,Wrong item received,725.54
FK-RET-00031,FK-260808-00011,FK-00086,18-08-2026,2,Duplicate purchase,3204.02
FK-RET-00032,FK-260530-00172,FK-00061,09-06-2026,1,Size or fit issue,2051.6
FK-RET-00033,FK-260819-00006,FK-00037,22-08-2026,3,Product not as expected,3618.57
FK-RET-00034,FK-260721-00067,FK-00024,30-07-2026,1,Wrong item received,1180.4
FK-RET-00035,FK-260818-00077,FK-00087,01-09-2026,1,Duplicate purchase,221.36
FK-RET-00036,FK-260525-00122,FK-00111,12-06-2026,1,Customer changed mind,483.72
FK-RET-00037,FK-260827-00387,FK-00007,14-09-2026,1,Late delivery,2443.2
FK-RET-00038,FK-260708-00016,FK-00037,15-08-2026,2,Duplicate purchase,2490.79
FK-RET-00039,FK-260506-00244,FK-00064,10-06-2026,1,Wrong item received,1059.65
FK-RET-00040,FK-260517-00369,FK-00043,05-06-2026,1,Late delivery,806.41
FK-RET-00041,FK-260619-00075,FK-00022,19-07-2026,1,Wrong item received,2322.81
FK-RET-00042,FK-260707-00135,FK-00063,04-08-2026,1,Late delivery,200.26
FK-RET-00043,FK-260514-00195,FK-00002,25-05-2026,1,Wrong item received,2545.82
FK-RET-00044,FK-260814-00218,FK-00057,23-08-2026,1,Wrong item received,554.5
FK-RET-00045,FK-260526-00028,FK-00065,25-06-2026,1,Quality concern,1572.94
FK-RET-00046,FK-260709-00362,FK-00064,13-09-2026,1,Missing accessory,1305.16
FK-RET-00047,FK-260815-00354,FK-00029,03-09-2026,2,Quality concern,3508.26
FK-RET-00048,FK-260826-00241,FK-00108,23-09-2026,1,Damaged in transit,1892.5
FK-RET-00049,FK-260810-00213,FK-00113,14-10-2026,1,Missing accessory,2465.39
FK-RET-00050,FK-260617-00136,FK-00106,10-07-2026,1,Damaged in transit,1694.75
FK-RET-00051,FK-260626-00367,FK-00059,03-07-2026,1,Quality concern,2685.55
FK-RET-00052,FK-260628-00201,FK-00080,09-07-2026,1,Quality concern,3708.05
FK-RET-00053,FK-260503-00292,FK-00039,12-03-2026,1,Product not as expected,417.62
FK-RET-00054,FK-260731-00035,FK-00038,15-08-2026,1,Quality concern,2693.44
FK-RET-00055,FK-260720-00009,FK-00008,26-07-2026,1,Product not as expected,2370.15
FK-RET-00056,FK-260605-00375,FK-00118,21-05-2026,1,Late delivery,1110.36
FK-RET-00057,FK-260814-00249,FK-00098,27-08-2026,3,Damaged in transit,5558.24
FK-RET-00058,FK-260625-00329,FK-00016,19-07-2026,2,Size or fit issue,1979.93
FK-RET-00059,FK-260604-00396,FK-00070,18-04-2026,1,Quality concern,1290.91
FK-RET-00060,FK-260616-00169,FK-00090,11-07-2026,1,Duplicate purchase,1136.07
FK-RET-00061,FK-260503-00361,FK-00071,21-03-2026,1,Quality concern,1567.55
FK-RET-00062,FK-260816-00190,FK-00107,09-09-2026,2,Missing accessory,6588.75
FK-RET-00063,FK-260720-00041,FK-00091,26-07-2026,1,Late delivery,1061.39
FK-RET-00064,FK-260704-00085,FK-00099,06-05-2026,3,Duplicate purchase,1331.66
FK-RET-00065,FK-260629-00312,FK-00083,29-07-2026,1,Size or fit issue,3332.27
FK-RET-00066,FK-260812-00211,FK-00043,22-12-2026,1,Product not as expected,728.7
FK-RET-00067,FK-260818-00181,FK-00027,12-09-2026,1,Quality concern,469.48
FK-RET-00068,FK-260817-00374,FK-00120,27-08-2026,1,Wrong item received,2585.47
FK-RET-00069,FK-260828-00166,FK-00022,08-09-2026,2,Product not as expected,5086.3
FK-RET-00070,FK-260825-00159,FK-00046,10-09-2026,3,Duplicate purchase,6795.13
FK-RET-00071,FK-260721-00350,FK-00005,20-08-2026,2,Quality concern,3758.57
FK-RET-00072,FK-260811-00097,FK-00006,29-11-2026,1,Wrong item received,1443.89
FK-RET-00073,FK-260708-00104,FK-00068,03-09-2026,1,Size or fit issue,3721.98
FK-RET-00074,FK-260721-00272,FK-00028,07-08-2026,1,Wrong item received,1610.96
FK-RET-00075,FK-260708-00398,FK-00008,27-08-2026,1,Wrong item received,2610.64
FK-RET-00076,FK-260526-00300,FK-00113,09-06-2026,2,Missing accessory,4972.7
FK-RET-00077,FK-260707-00015,FK-00022,28-07-2026,1,Defective product,3044.32
FK-RET-00078,FK-260825-00162,FK-00051,06-09-2026,1,Quality concern,594.05
FK-RET-00079,FK-260811-00037,FK-00064,16-11-2026,2,Missing accessory,2124.77
FK-RET-00080,FK-260721-00255,FK-00038,11-08-2026,2,Product not as expected,5057.56
FK-RET-00081,FK-260627-00170,FK-00032,18-07-2026,1,Duplicate purchase,3385.13
FK-RET-00082,FK-260816-00298,FK-00112,19-08-2026,1,Customer changed mind,1277.02
FK-RET-00083,FK-260706-00267,FK-00042,10-06-2026,1,Quality concern,1099.26
FK-RET-00084,FK-260826-00324,FK-00075,25-09-2026,1,Size or fit issue,514.8
FK-RET-00085,FK-260617-00382,FK-00072,28-06-2026,1,Defective product,1808.24
FK-RET-00086,FK-260527-00049,FK-00036,17-06-2026,2,Late delivery,993.84
FK-RET-00087,FK-260718-00178,FK-00014,29-07-2026,2,Customer changed mind,5156.06
FK-RET-00088,FK-260813-00056,FK-00074,31-08-2026,2,Missing accessory,2125.26
FK-RET-00089,FK-260627-00040,FK-00054,16-07-2026,1,Defective product,1036.4
FK-RET-00090,FK-260810-00304,FK-00041,18-10-2026,1,Wrong item received,1278.68
FK-RET-00091,FK-260605-00130,FK-00025,16-05-2026,1,Wrong item received,1171.27
FK-RET-00092,FK-260718-00391,FK-00119,14-08-2026,1,Missing accessory,3270.14
FK-RET-00093,FK-260804-00194,FK-00116,02-05-2026,2,Size or fit issue,5440.45
FK-RET-00094,FK-260808-00023,FK-00037,27-08-2026,1,Size or fit issue,1351.12
FK-RET-00095,FK-260824-00358,FK-00090,16-09-2026,1,Customer changed mind,1031.65
FK-RET-00096,FK-260526-00337,FK-00105,16-06-2026,1,Duplicate purchase,301.34
FK-RET-00097,FK-260724-00283,FK-00016,17-08-2026,2,Wrong item received,2191.65
FK-RET-00098,FK-260513-00005,FK-00059,26-05-2026,1,Defective product,2982.57
FK-RET-00099,FK-260801-00224,FK-00047,21-01-2026,1,Wrong item received,1544.3
FK-RET-00100,FK-260615-00007,FK-00036,05-07-2026,1,Size or fit issue,489.06
FK-RET-00101,FK-260604-00223,FK-00098,21-04-2026,3,Duplicate purchase,6199.85
FK-RET-00102,FK-260527-00368,FK-00111,30-05-2026,1,Product not as expected,436.98
FK-RET-00103,FK-260808-00203,FK-00002,21-08-2026,1,Late delivery,2772.27
FK-RET-00104,FK-260718-00082,FK-00110,22-07-2026,1,Damaged in transit,1412.13
FK-RET-00105,FK-260823-00047,FK-00056,05-09-2026,2,Duplicate purchase,4760.32
FK-RET-00106,FK-260716-00326,FK-00081,22-07-2026,1,Defective product,340.82
FK-RET-00107,FK-260724-00088,FK-00007,19-08-2026,2,Defective product,4742.32
FK-RET-00108,FK-260729-00196,FK-00103,28-08-2026,1,Size or fit issue,1180.62
FK-RET-00109,FK-260502-00173,FK-00063,25-02-2026,2,Size or fit issue,444.59
FK-RET-00110,FK-260707-00127,FK-00041,25-07-2026,2,Wrong item received,2447.34
FK-RET-00111,FK-260616-00373,FK-00104,06-07-2026,2,Quality concern,5977.83
FK-RET-00112,FK-260610-00251,FK-00021,17-10-2026,1,Product not as expected,1027.69
FK-RET-00113,FK-260814-00293,FK-00039,25-08-2026,1,Wrong item received,475.58
FK-RET-00114,FK-260803-00226,FK-00079,22-03-2026,1,Product not as expected,1794.15
FK-RET-00115,FK-260512-00376,FK-00023,15-12-2026,2,Product not as expected,6813.27
FK-RET-00116,FK-260722-00150,FK-00046,16-08-2026,2,Missing accessory,4167.2
FK-RET-00117,FK-260809-00206,FK-00113,08-10-2026,1,Quality concern,2517.29
FK-RET-00118,FK-260616-00148,FK-00042,01-07-2026,1,Product not as expected,1162.12
FK-RET-00119,FK-260710-00008,FK-00043,15-10-2026,1,Wrong item received,747.46
FK-RET-00120,FK-260519-00371,FK-00069,30-05-2026,1,Quality concern,548.05
