SKU,Snapshot Date,Available Qty
FK-00080,15-08-2026,176
FK-00081,15-07-2026,460
FK-00081,15-08-2026,411
FK-00082,15-07-2026,499
FK-00082,15-08-2026,454
FK-00083,15-07-2026,667
FK-00083,15-08-2026,641
FK-00084,15-07-2026,575
FK-00084,15-08-2026,592
FK-00085,15-07-2026,613
FK-00085,15-08-2026,576
FK-00086,15-07-2026,193
FK-00086,15-08-2026,213
FK-00087,15-07-2026,475
FK-00087,15-08-2026,491
FK-00088,15-07-2026,159
FK-00088,15-08-2026,167
FK-00089,15-07-2026,22
FK-00089,15-08-2026,40
FK-00090,15-07-2026,446
FK-00090,15-08-2026,462
FK-00091,15-07-2026,380
FK-00091,15-08-2026,343
FK-00092,15-07-2026,425
FK-00092,15-08-2026,355
FK-00093,15-07-2026,274
FK-00093,15-08-2026,260
FK-00094,15-07-2026,556
FK-00094,15-08-2026,544
FK-00095,15-07-2026,314
FK-00095,15-08-2026,261
FK-00096,15-07-2026,147
FK-00096,15-08-2026,117
FK-00097,15-07-2026,361
FK-00097,15-08-2026,339
FK-00098,15-07-2026,153
FK-00098,15-08-2026,80
FK-00099,15-07-2026,267
FK-00099,15-08-2026,218
FK-00100,15-07-2026,12
FK-00100,15-08-2026,0
FK-00101,15-07-2026,638
FK-00101,15-08-2026,651
FK-00102,15-07-2026,151
FK-00102,15-08-2026,162
FK-00103,15-07-2026,357
FK-00103,15-08-2026,389
FK-00104,15-07-2026,255
FK-00104,15-08-2026,265
FK-00105,15-07-2026,675
FK-00105,15-08-2026,676
FK-00106,15-07-2026,112
FK-00106,15-08-2026,118
FK-00107,15-07-2026,376
FK-00107,15-08-2026,382
FK-00108,15-07-2026,661
FK-00108,15-08-2026,684
FK-00109,15-07-2026,267
FK-00109,15-08-2026,276
FK-00110,15-07-2026,202
FK-00110,15-08-2026,242
FK-00111,15-07-2026,5
FK-00111,15-08-2026,0
FK-00112,15-07-2026,551
FK-00112,15-08-2026,535
FK-00113,15-07-2026,305
FK-00113,15-08-2026,290
FK-00114,15-07-2026,650
FK-00114,15-08-2026,629
FK-00115,15-07-2026,577
FK-00115,15-08-2026,612
FK-00116,15-07-2026,550
FK-00116,15-08-2026,500
FK-00117,15-07-2026,579
FK-00117,15-08-2026,535
FK-00118,15-07-2026,427
FK-00118,15-08-2026,396
FK-00119,15-07-2026,139
FK-00119,15-08-2026,127
FK-00120,15-07-2026,391
FK-00120,15-08-2026,426
