Bill No,Item Code,Bill Date,Qty,Amount,Discount
POS-260604-00031,POS-00085,04/06/2026,1,952.79,108.26
POS-260709-00032,POS-00082,09/07/2026,2,5043.18,34.56
POS-260725-00033,POS-00059,25/07/2026,2,6831.60,983.24
POS-260617-00034,POS-00050,17/06/2026,4,13781.48,1976.12
POS-260730-00035,POS-00073,30/07/2026,3,2294.13,347.66
POS-260806-00036,POS-00023,06/08/2026,2,7729.56,1068.49
POS-260629-00037,POS-00042,29/06/2026,1,1383.89,210.81
POS-260618-00038,POS-00115,18/06/2026,1,2471.91,277.79
POS-260518-00039,POS-00049,18/05/2026,3,7707.18,887.51
POS-260710-00040,POS-00027,10/07/2026,1,576.65,65.50
POS-260709-00041,POS-00079,09/07/2026,1,2139.74,141.46
POS-260816-00042,POS-00087,16/08/2026,1,289.93,27.45
POS-260805-00043,POS-00018,05/08/2026,2,3018.02,418.22
POS-260526-00044,POS-00113,26/05/2026,1,2727.28,179.18
POS-260802-00045,POS-00051,02/08/2026,4,3178.40,497.36
POS-260616-00046,POS-00109,16/06/2026,1,2521.21,283.61
POS-260617-00047,POS-00005,17/06/2026,2,4684.02,660.97
POS-260715-00048,POS-00023,15/07/2026,2,8571.60,214.76
POS-260601-00049,POS-00103,01/06/2026,1,1495.21,127.66
POS-260512-00050,POS-00096,12/05/2026,4,6521.08,253.05
POS-260723-00051,POS-00073,23/07/2026,1,687.63,63.53
POS-260526-00052,POS-00107,26/05/2026,4,16661.96,272.04
POS-260813-00053,POS-00013,13/08/2026,1,2063.54,283.60
POS-260528-00054,POS-00042,28/05/2026,1,1378.07,39.62
POS-260629-00055,POS-00028,29/06/2026,2,3614.54,485.73
POS-260718-00056,POS-00067,18/07/2026,1,1695.08,197.38
POS-260804-00057,POS-00028,04/08/2026,2,3677.10,426.78
POS-260815-00058,POS-00112,15/08/2026,2,2810.60,160.17
POS-260825-00059,POS-00026,25/08/2026,2,2754.40,397.88
POS-260508-00060,POS-00097,08/05/2026,1,1598.06,11.30
POS-260605-00061,POS-00020,05/06/2026,1,1392.85,75.33
POS-260826-00062,POS-00111,26/08/2026,1,560.54,8.32
POS-260702-00063,POS-00083,02/07/2026,2,7163.06,1115.87
POS-260601-00064,POS-00092,01/06/2026,1,1334.43,118.07
POS-260618-00065,POS-00111,18/06/2026,1,551.42,86.12
POS-260724-00066,POS-00101,24/07/2026,4,5550.00,479.21
POS-260529-00067,POS-00083,29/05/2026,2,7090.12,444.60
POS-260527-00068,POS-00107,27/05/2026,2,8265.80,1228.10
POS-260619-00069,POS-00060,19/06/2026,2,3400.74,462.53
POS-260518-00070,POS-00102,18/05/2026,4,6845.40,233.09
POS-260519-00071,POS-00040,19/05/2026,1,1635.89,155.24
POS-260720-00072,POS-00087,20/07/2026,1,279.02,42.90
POS-260808-00073,POS-00091,08/08/2026,2,2883.30,29.03
POS-260803-00074,POS-00015,03/08/2026,1,641.37,80.41
POS-260619-00075,POS-00025,19/06/2026,1,1475.54,38.45
POS-260704-00076,POS-00018,04/07/2026,1,1690.62,164.43
POS-260608-00077,POS-00119,08/06/2026,4,17523.68,1045.46
POS-260604-00078,POS-00022,04/06/2026,4,13225.80,354.93
POS-260505-00079,POS-00060,05/05/2026,1,1644.51,36.41
POS-260730-00080,POS-00009,30/07/2026,2,2165.72,86.46
POS-260506-00081,POS-00061,06/05/2026,1,2425.94,364.73
POS-260826-00082,POS-00074,26/08/2026,4,5159.64,288.37
POS-260725-00083,POS-00039,25/07/2026,4,1980.24,117.70
POS-260803-00084,POS-00093,03/08/2026,4,2851.96,270.69
POS-260716-00085,POS-00070,16/07/2026,1,1665.19,243.77
POS-260822-00086,POS-00118,22/08/2026,2,2730.26,3.76
POS-260506-00087,POS-00104,06/05/2026,2,6147.54,338.85
POS-260709-00088,POS-00113,09/07/2026,1,2929.82,55.99
POS-260513-00089,POS-00077,13/05/2026,1,1910.90,96.66
POS-260630-00090,POS-00119,30/06/2026,1,4512.49,628.38
POS-260504-00091,POS-00117,04/05/2026,1,398.87,59.90
POS-260502-00092,POS-00103,02/05/2026,2,3129.78,238.19
POS-260724-00093,POS-00116,24/07/2026,1,3025.68,331.58
POS-260618-00094,POS-00012,18/06/2026,1,1071.19,97.10
POS-260526-00095,POS-00067,26/05/2026,3,4896.57,110.37
POS-260619-00096,POS-00085,19/06/2026,4,3864.28,123.42
POS-260808-00097,POS-00014,08/08/2026,2,7151.16,183.85
POS-260621-00098,POS-00060,21/06/2026,1,1676.95,263.32
POS-260607-00099,POS-00066,07/06/2026,1,941.51,82.67
POS-260705-00100,POS-00031,05/07/2026,2,3845.90,514.68
POS-260516-00101,POS-00080,16/05/2026,1,3694.67,184.81
POS-260607-00102,POS-00017,07/06/2026,4,8510.56,770.63
POS-260509-00103,POS-00044,09/05/2026,1,3829.76,330.94
POS-260815-00104,POS-00105,15/08/2026,4,1451.08,39.34
POS-260826-00105,POS-00083,26/08/2026,4,13574.52,1547.66
POS-260517-00106,POS-00115,17/05/2026,2,4862.62,229.03
POS-260820-00107,POS-00079,20/08/2026,4,7949.36,118.96
POS-260718-00108,POS-00064,18/07/2026,2,2652.70,234.06
POS-260709-00109,POS-00068,09/07/2026,4,17866.40,71.90
POS-260718-00110,POS-00103,18/07/2026,3,4483.50,572.89
POS-260721-00111,POS-00086,21/07/2026,3,5693.97,376.03
POS-260714-00112,POS-00016,14/07/2026,1,1241.22,157.34
POS-260602-00113,POS-00117,02/06/2026,1,405.81,5.13
POS-260724-00114,POS-00066,24/07/2026,2,1998.80,209.64
POS-260709-00115,POS-00027,09/07/2026,2,1102.12,88.72
POS-260528-00116,POS-00037,28/05/2026,1,1445.27,5.91
POS-260624-00117,POS-00062,24/06/2026,3,4148.31,538.09
POS-260803-00118,POS-00069,03/08/2026,3,2187.72,293.39
POS-260514-00119,POS-00036,14/05/2026,3,1729.05,257.75
POS-260715-00120,POS-00108,15/07/2026,2,4583.02,670.46
POS-260811-00121,POS-00111,11/08/2026,1,516.69,49.50
POS-260712-00122,POS-00035,12/07/2026,2,7793.02,1072.53
POS-260605-00123,POS-00094,05/06/2026,2,6422.76,577.77
POS-260504-00124,POS-00120,04/05/2026,2,5924.84,346.66
POS-260507-00125,POS-00044,07/05/2026,1,4206.42,467.66
POS-260621-00126,POS-00072,21/06/2026,2,4378.42,653.11
POS-260530-00127,POS-00098,30/05/2026,1,2249.64,92.53
POS-260825-00128,POS-00035,25/08/2026,1,3623.08,292.34
POS-260728-00129,POS-00111,28/07/2026,2,1092.34,113.54
POS-260805-00130,POS-00027,05/08/2026,3,1712.25,201.91
POS-260622-00131,POS-00108,22/06/2026,1,2498.69,98.76
POS-260819-00132,POS-00081,19/08/2026,4,1565.16,198.85
POS-260630-00133,POS-00114,30/06/2026,3,2792.07,234.34
POS-260502-00134,POS-00034,02/05/2026,2,5960.34,344.84
POS-260710-00135,POS-00064,10/07/2026,3,3878.43,271.75
POS-260709-00136,POS-00003,09/07/2026,2,430.32,31.43
POS-260808-00137,POS-00118,08/08/2026,2,2719.44,178.61
POS-260613-00138,POS-00025,13/06/2026,1,1469.21,98.48
POS-260813-00139,POS-00079,13/08/2026,1,1942.78,226.69
POS-260823-00140,POS-00075,23/08/2026,1,662.32,72.70
POS-260522-00141,POS-00011,22/05/2026,4,9284.40,1009.47
POS-260714-00142,POS-00103,14/07/2026,1,1492.78,206.52
POS-260819-00143,POS-00046,19/08/2026,1,2453.63,187.95
POS-260522-00144,POS-00002,22/05/2026,2,6335.56,1003.16
POS-260825-00145,POS-00025,25/08/2026,1,1473.20,58.40
POS-260712-00146,POS-00037,12/07/2026,1,1545.97,29.60
POS-260718-00147,POS-00019,18/07/2026,1,2064.21,140.58
POS-260611-00148,POS-00111,11/06/2026,4,2044.04,214.72
POS-260530-00149,POS-00036,30/05/2026,2,1132.20,63.33
POS-260626-00150,POS-00045,26/06/2026,1,344.52,37.06
POS-260615-00151,POS-00023,15/06/2026,1,4204.88,582.30
POS-260801-00152,POS-00049,01/08/2026,3,6873.30,907.51
POS-260720-00153,POS-00024,20/07/2026,1,1502.37,117.72
POS-260528-00154,POS-00065,28/05/2026,1,1915.85,168.44
POS-260517-00155,POS-00041,17/05/2026,1,1487.34,9.25
POS-260626-00156,POS-00074,26/06/2026,2,2596.96,297.37
POS-260710-00157,POS-00045,10/07/2026,1,334.48,2.12
POS-260605-00158,POS-00101,05/06/2026,2,2746.28,406.61
POS-260823-00159,POS-00014,23/08/2026,1,3294.87,279.94
POS-260510-00160,POS-00116,10/05/2026,3,9451.17,506.83
POS-260727-00161,POS-00049,27/07/2026,1,2332.24,270.34
POS-260802-00162,POS-00084,02/08/2026,2,3222.76,281.22
POS-260525-00163,POS-00097,25/05/2026,3,4551.27,173.34
POS-260527-00164,POS-00020,27/05/2026,1,1447.54,23.53
POS-260729-00165,POS-00101,29/07/2026,1,1422.05,224.00
POS-260602-00166,POS-00115,02/06/2026,1,2443.68,294.21
POS-260519-00167,POS-00061,19/05/2026,1,2437.03,92.54
POS-260517-00168,POS-00069,17/05/2026,4,2900.72,107.26
POS-260812-00169,POS-00052,12/08/2026,1,1231.49,168.48
POS-260615-00170,POS-00070,15/06/2026,2,3361.88,322.88
POS-260823-00171,POS-00020,23/08/2026,1,1365.59,46.43
POS-260504-00172,POS-00095,04/05/2026,1,3375.57,475.51
POS-260501-00173,POS-00042,01/05/2026,2,3018.88,151.30
POS-260727-00174,POS-00026,27/07/2026,3,3999.66,256.01
POS-260710-00175,POS-00120,10/07/2026,4,11998.20,1836.96
POS-260719-00176,POS-00002,19/07/2026,1,3090.33,280.85
POS-260603-00177,POS-00069,03/06/2026,2,1354.90,150.54
POS-260816-00178,POS-00043,16/08/2026,1,932.38,89.05
POS-260522-00179,POS-00093,22/05/2026,3,2117.55,50.80
POS-260712-00180,POS-00047,12/07/2026,2,4267.54,653.27
POS-260803-00181,POS-00068,03/08/2026,1,4958.58,472.82
POS-260809-00182,POS-00048,09/08/2026,1,1588.21,164.76
POS-260505-00183,POS-00035,05/05/2026,1,3478.65,169.36
POS-260611-00184,POS-00073,11/06/2026,1,744.91,111.72
POS-260802-00185,POS-00018,02/08/2026,1,1518.20,145.39
POS-260510-00186,POS-00036,10/05/2026,3,1848.75,72.39
POS-260707-00187,POS-00069,07/07/2026,1,690.00,19.32
POS-260723-00188,POS-00022,23/07/2026,3,9923.70,379.36
POS-260724-00189,POS-00105,24/07/2026,1,356.76,28.58
POS-260825-00190,POS-00095,25/08/2026,1,3228.31,113.36
POS-260719-00191,POS-00057,19/07/2026,1,552.50,30.45
POS-260726-00192,POS-00031,26/07/2026,2,3688.60,206.92
POS-260703-00193,POS-00002,03/07/2026,1,3376.92,517.88
POS-260606-00194,POS-00072,06/06/2026,1,2172.91,40.74
POS-260629-00195,POS-00105,29/06/2026,3,1028.31,119.00
POS-260501-00196,POS-00028,01/05/2026,1,1823.16,282.88
POS-260801-00197,POS-00026,01/08/2026,2,2540.00,251.35
POS-260627-00198,POS-00033,27/06/2026,2,964.24,25.83
POS-260801-00199,POS-00087,01/08/2026,4,1146.80,71.59
POS-260731-00200,POS-00016,31/07/2026,1,1228.65,180.63
POS-260811-00201,POS-00094,11/08/2026,2,6617.70,875.21
POS-260817-00202,POS-00061,17/08/2026,1,2198.71,136.00
POS-260803-00203,POS-00100,03/08/2026,1,1583.35,236.46
POS-260803-00204,POS-00014,03/08/2026,4,14265.76,561.63
POS-260804-00205,POS-00080,04/08/2026,1,3699.41,324.25
POS-260810-00206,POS-00084,10/08/2026,1,1632.56,78.16
POS-260511-00207,POS-00027,11/05/2026,2,1146.08,149.67
POS-260622-00208,POS-00073,22/06/2026,4,2979.96,249.84
POS-260715-00209,POS-00112,15/07/2026,1,1306.11,191.76
POS-260512-00210,POS-00038,12/05/2026,1,3197.32,286.82
POS-260526-00211,POS-00109,26/05/2026,1,2361.26,229.45
POS-260511-00212,POS-00057,11/05/2026,1,623.44,39.20
POS-260701-00213,POS-00003,01/07/2026,4,857.08,127.29
POS-260622-00214,POS-00024,22/06/2026,1,1513.81,222.03
POS-260614-00215,POS-00038,14/06/2026,1,2995.05,285.69
POS-260509-00216,POS-00078,09/05/2026,1,679.78,73.62
POS-260621-00217,POS-00043,21/06/2026,3,2549.31,136.89
POS-260816-00218,POS-00103,16/08/2026,1,1421.34,21.17
POS-260728-00219,POS-00004,28/07/2026,2,3897.90,337.72
POS-260807-00220,POS-00011,07/08/2026,1,2399.47,148.80
POS-260827-00221,POS-00046,27/08/2026,1,2571.20,294.82
POS-260703-00222,POS-00041,03/07/2026,1,1617.57,98.74
POS-260804-00223,POS-00089,04/08/2026,1,2886.96,390.61
POS-260806-00224,POS-00120,06/08/2026,2,5918.90,909.16
POS-260626-00225,POS-00018,26/06/2026,3,4678.26,456.75
POS-260506-00226,POS-00005,06/05/2026,1,2260.98,212.46
POS-260806-00227,POS-00014,06/08/2026,1,3333.42,77.77
POS-260507-00228,POS-00085,07/05/2026,1,879.68,101.07
POS-260527-00229,POS-00007,27/05/2026,1,2932.48,164.28
POS-260506-00230,POS-00088,06/05/2026,1,1706.93,29.37
POS-260813-00231,POS-00006,13/08/2026,1,1612.31,149.19
POS-260621-00232,POS-00113,21/06/2026,2,5449.12,264.27
POS-260601-00233,POS-00050,01/06/2026,1,3660.79,584.29
POS-260610-00234,POS-00070,10/06/2026,3,5011.62,80.05
POS-260516-00235,POS-00028,16/05/2026,3,5754.30,559.88
POS-260515-00236,POS-00074,15/05/2026,1,1257.50,52.01
POS-260603-00237,POS-00048,03/06/2026,2,3133.16,250.17
POS-260606-00238,POS-00090,06/06/2026,1,1219.02,164.47
POS-260529-00239,POS-00031,29/05/2026,1,1973.90,120.27
POS-260804-00240,POS-00014,04/08/2026,1,3611.43,573.68
POS-260814-00241,POS-00017,14/08/2026,4,8409.92,924.87
POS-260502-00242,POS-00109,02/05/2026,4,9935.24,620.46
POS-260801-00243,POS-00096,01/08/2026,2,3306.06,161.40
POS-260719-00244,POS-00014,19/07/2026,3,9974.88,787.83
POS-260523-00245,POS-00116,23/05/2026,1,3124.80,182.23
POS-260502-00246,POS-00028,02/05/2026,1,1908.72,237.58
POS-260525-00247,POS-00043,25/05/2026,2,1779.34,122.39
POS-260527-00248,POS-00088,27/05/2026,2,3283.34,375.33
POS-260606-00249,POS-00059,06/06/2026,4,12505.76,1514.41
POS-260503-00250,POS-00085,03/05/2026,2,1943.18,14.43
POS-260528-00251,POS-00067,28/05/2026,4,6410.24,181.98
POS-260509-00252,POS-00073,09/05/2026,3,2150.16,27.36
POS-260511-00253,POS-00097,11/05/2026,2,3042.98,191.01
POS-260701-00254,POS-00016,01/07/2026,2,2698.74,159.08
POS-260802-00255,POS-00052,02/08/2026,1,1225.51,181.98
POS-260720-00256,POS-00092,20/07/2026,1,1311.67,119.91
POS-260806-00257,POS-00051,06/08/2026,4,3201.72,48.92
POS-260609-00258,POS-00053,09/06/2026,1,790.87,67.08
POS-260814-00259,POS-00062,14/08/2026,1,1442.55,10.89
POS-260520-00260,POS-00046,20/05/2026,2,5104.76,447.80
POS-260810-00261,POS-00022,10/08/2026,1,3265.07,104.60
POS-260606-00262,POS-00001,06/06/2026,1,762.89,2.78
POS-260721-00263,POS-00084,21/07/2026,1,1593.70,79.20
POS-260803-00264,POS-00069,03/08/2026,2,1373.06,98.20
POS-260505-00265,POS-00004,05/05/2026,3,5874.90,767.59
POS-260826-00266,POS-00025,26/08/2026,4,5901.52,914.67
POS-260503-00267,POS-00067,03/05/2026,4,6299.36,173.42
POS-260626-00268,POS-00117,26/06/2026,1,420.28,34.61
POS-260826-00269,POS-00030,26/08/2026,1,1513.22,204.55
POS-260525-00270,POS-00021,25/05/2026,2,2390.48,330.21
POS-260716-00271,POS-00023,16/07/2026,2,8159.06,605.63
POS-260725-00272,POS-00091,25/07/2026,1,1526.43,157.77
POS-260713-00273,POS-00007,13/07/2026,1,3120.83,280.15
POS-260621-00274,POS-00077,21/06/2026,2,3447.00,18.91
POS-260823-00275,POS-00035,23/08/2026,2,7061.76,497.84
POS-260725-00276,POS-00033,25/07/2026,1,495.15,36.01
POS-260704-00277,POS-00109,04/07/2026,1,2406.22,68.35
POS-260617-00278,POS-00063,17/06/2026,2,542.86,24.55
POS-260615-00279,POS-00031,15/06/2026,1,1973.15,79.11
POS-260508-00280,POS-00012,08/05/2026,2,2153.58,61.67
POS-260611-00281,POS-00047,11/06/2026,4,7927.68,199.47
POS-260808-00282,POS-00120,08/08/2026,1,2940.49,106.26
POS-260803-00283,POS-00019,03/08/2026,1,2014.31,314.24
POS-260827-00284,POS-00077,27/08/2026,1,1926.85,110.30
POS-260826-00285,POS-00073,26/08/2026,2,1475.82,120.66
POS-260621-00286,POS-00073,21/06/2026,1,759.37,71.73
POS-260713-00287,POS-00094,13/07/2026,1,3443.62,116.90
POS-260527-00288,POS-00070,27/05/2026,2,3403.96,340.69
POS-260511-00289,POS-00056,11/05/2026,2,5549.28,387.35
POS-260703-00290,POS-00056,03/07/2026,1,2873.21,165.77
POS-260810-00291,POS-00103,10/08/2026,4,5690.68,465.27
POS-260505-00292,POS-00013,05/05/2026,2,4539.84,190.54
POS-260606-00293,POS-00060,06/06/2026,4,7004.52,397.70
POS-260526-00294,POS-00030,26/05/2026,2,3156.52,481.78
POS-260505-00295,POS-00004,05/05/2026,2,3903.66,436.31
POS-260529-00296,POS-00115,29/05/2026,4,9716.08,160.26
POS-260604-00297,POS-00085,04/06/2026,1,933.46,100.74
POS-260624-00298,POS-00065,24/06/2026,1,2006.76,178.75
POS-260502-00299,POS-00039,02/05/2026,1,485.91,50.88
POS-260511-00300,POS-00090,11/05/2026,1,1237.35,135.10
POS-260527-00301,POS-00028,27/05/2026,2,3598.38,474.83
POS-260524-00302,POS-00002,24/05/2026,1,3362.50,73.70
POS-260605-00303,POS-00013,05/06/2026,4,8734.44,677.41
POS-260705-00304,POS-00083,05/07/2026,2,7081.32,221.22
POS-260708-00305,POS-00100,08/07/2026,1,1598.73,135.07
POS-260529-00306,POS-00078,29/05/2026,4,2709.04,101.61
POS-260723-00307,POS-00017,23/07/2026,1,2171.25,251.68
POS-260815-00308,POS-00047,15/08/2026,4,8437.84,946.00
POS-260623-00309,POS-00033,23/06/2026,4,2029.36,314.53
POS-260607-00310,POS-00040,07/06/2026,2,3400.60,440.00
POS-260522-00311,POS-00100,22/05/2026,2,3349.24,54.08
POS-260504-00312,POS-00062,04/05/2026,1,1368.84,100.24
POS-260630-00313,POS-00037,30/06/2026,1,1524.00,199.89
POS-260704-00314,POS-00085,04/07/2026,4,3660.60,444.84
POS-260811-00315,POS-00064,11/08/2026,1,1429.53,227.76
POS-260528-00316,POS-00066,28/05/2026,1,1000.41,85.53
POS-260530-00317,POS-00020,30/05/2026,2,2827.96,183.72
POS-260817-00318,POS-00113,17/08/2026,4,10868.12,9.54
POS-260501-00319,POS-00060,01/05/2026,1,1655.37,49.19
POS-260611-00320,POS-00109,11/06/2026,2,4781.38,324.95
POS-260713-00321,POS-00042,13/07/2026,1,1514.53,67.80
POS-260710-00322,POS-00051,10/07/2026,3,2405.01,235.74
POS-260622-00323,POS-00009,22/06/2026,3,2953.86,230.54
POS-260511-00324,POS-00073,11/05/2026,3,2236.92,353.68
POS-260818-00325,POS-00037,18/08/2026,2,2827.52,113.42
POS-260523-00326,POS-00085,23/05/2026,1,987.24,27.84
POS-260622-00327,POS-00078,22/06/2026,1,676.37,71.37
POS-260827-00328,POS-00016,27/08/2026,2,2703.68,342.94
POS-260714-00329,POS-00050,14/07/2026,3,11051.67,1576.84
POS-260715-00330,POS-00108,15/07/2026,2,4928.54,413.68
POS-260629-00331,POS-00061,29/06/2026,4,9599.96,448.42
POS-260824-00332,POS-00117,24/08/2026,1,431.38,5.87
POS-260613-00333,POS-00010,13/06/2026,2,5857.00,100.88
POS-260608-00334,POS-00099,08/06/2026,2,1035.90,85.65
POS-260507-00335,POS-00015,07/05/2026,2,1267.28,76.15
POS-260809-00336,POS-00075,09/08/2026,1,619.23,4.45
POS-260520-00337,POS-00097,20/05/2026,1,1501.71,96.99
POS-260507-00338,POS-00022,07/05/2026,2,6060.30,842.14
POS-260609-00339,POS-00005,09/06/2026,1,2230.53,136.17
POS-260611-00340,POS-00041,11/06/2026,4,5871.56,5.00
POS-260821-00341,POS-00090,21/08/2026,3,3896.85,279.79
POS-260620-00342,POS-00102,20/06/2026,4,6705.32,552.70
POS-260823-00343,POS-00083,23/08/2026,2,7358.02,10.22
POS-260701-00344,POS-00009,01/07/2026,3,3182.34,108.01
POS-260708-00345,POS-00063,08/07/2026,1,275.45,17.18
POS-260619-00346,POS-00091,19/06/2026,1,1464.14,37.08
POS-260530-00347,POS-00113,30/05/2026,2,5696.90,456.05
POS-260620-00348,POS-00036,20/06/2026,1,565.45,38.32
POS-260511-00349,POS-00040,11/05/2026,1,1591.48,209.00
POS-260612-00350,POS-00086,12/06/2026,1,2018.43,278.37
POS-260723-00351,POS-00114,23/07/2026,1,897.82,49.68
POS-260707-00352,POS-00029,07/07/2026,2,3828.28,560.54
POS-260720-00353,POS-00001,20/07/2026,1,748.80,98.86
POS-260609-00354,POS-00050,09/06/2026,2,6743.06,218.04
POS-260501-00355,POS-00075,01/05/2026,2,1320.82,166.46
POS-260709-00356,POS-00045,09/07/2026,1,349.12,14.12
POS-260605-00357,POS-00048,05/06/2026,2,3060.10,436.39
POS-260726-00358,POS-00067,26/07/2026,2,3055.28,475.01
POS-260625-00359,POS-00026,25/06/2026,3,3846.15,418.92
POS-260514-00360,POS-00030,14/05/2026,4,5801.20,253.19
POS-260805-00361,POS-00075,05/08/2026,4,2718.48,249.25
POS-260718-00362,POS-00090,18/07/2026,3,3943.41,346.31
POS-260808-00363,POS-00041,08/08/2026,3,4777.83,364.33
POS-260515-00364,POS-00009,15/05/2026,1,1043.42,75.21
POS-260707-00365,POS-00075,07/07/2026,1,646.42,64.16
POS-260720-00366,POS-00105,20/07/2026,2,768.22,41.39
POS-260611-00367,POS-00062,11/06/2026,2,2704.64,54.47
POS-260614-00368,POS-00043,14/06/2026,4,3653.92,560.64
POS-260706-00369,POS-00078,06/07/2026,1,649.41,36.02
POS-260824-00370,POS-00047,24/08/2026,1,1990.81,52.67
POS-260526-00371,POS-00005,26/05/2026,2,4400.54,25.81
POS-260527-00372,POS-00044,27/05/2026,1,3889.34,198.43
POS-260512-00373,POS-00003,12/05/2026,1,216.77,3.58
POS-260703-00374,POS-00059,03/07/2026,1,3169.11,144.38
POS-260501-00375,POS-00071,01/05/2026,1,1814.71,47.02
POS-260607-00376,POS-00065,07/06/2026,2,4048.62,71.60
POS-260821-00377,POS-00042,21/08/2026,4,5739.16,492.45
POS-260613-00378,POS-00041,13/06/2026,2,3052.34,230.16
POS-260505-00379,POS-00116,05/05/2026,4,11777.96,43.87
POS-260623-00380,POS-00098,23/06/2026,3,6663.60,413.76
POS-260512-00381,POS-00096,12/05/2026,4,7204.16,81.07
POS-260602-00382,POS-00012,02/06/2026,1,1078.99,18.24
POS-260615-00383,POS-00052,15/06/2026,1,1128.36,134.60
POS-260713-00384,POS-00002,13/07/2026,2,6519.50,235.19
POS-260701-00385,POS-00016,01/07/2026,2,2669.68,354.31
POS-260803-00386,POS-00080,03/08/2026,2,7428.92,753.57
POS-260812-00387,POS-00091,12/08/2026,1,1423.85,52.98
POS-260819-00388,POS-00051,19/08/2026,4,3154.32,143.61
POS-260604-00389,POS-00059,04/06/2026,3,9754.05,464.60
POS-260501-00390,POS-00053,01/05/2026,1,836.84,72.66
POS-260702-00391,POS-00003,02/07/2026,1,195.48,3.96
POS-260515-00392,POS-00035,15/05/2026,1,3524.42,216.06
POS-260716-00393,POS-00059,16/07/2026,1,3325.64,111.92
POS-260823-00394,POS-00083,23/08/2026,1,3315.40,437.84
POS-260525-00395,POS-00081,25/05/2026,2,718.40,6.45
POS-260803-00396,POS-00002,03/08/2026,1,3071.96,167.18
POS-260510-00397,POS-00035,10/05/2026,1,3612.21,430.28
POS-260701-00398,POS-00043,01/07/2026,1,858.30,130.94
POS-260518-00399,POS-00106,18/05/2026,4,6941.56,353.09
POS-260728-00400,POS-00030,28/07/2026,1,1414.62,165.76
