order-id,sku,purchase-date,quantity,item-price,item-promotion-discount,commission,shipping-price,item-tax
AMZ-260628-00025,AMZ-00116,2026-06-28,3,9465.90,806.83,1152.36,60.00,1081.84
AMZ-260505-00026,AMZ-00022,2026-05-05,2,6228.96,857.82,837.55,0.00,267.57
AMZ-260714-00027,AMZ-00077,2026-07-14,1,1678.16,251.31,248.19,80.00,72.21
AMZ-260618-00028,AMZ-00021,2026-06-18,3,3570.09,454.18,429.77,60.00,535.64
AMZ-260507-00029,AMZ-00087,2026-05-07,2,539.90,14.80,71.71,0.00,60.25
AMZ-260721-00030,AMZ-00058,2026-07-21,1,942.07,120.47,126.13,40.00,85.30
AMZ-260810-00031,AMZ-00017,2026-08-10,4,7936.84,111.38,1006.60,0.00,1006.98
AMZ-260525-00032,AMZ-00111,2026-05-25,3,1536.54,220.86,186.00,60.00,189.96
AMZ-260703-00033,AMZ-00096,2026-07-03,1,1612.02,38.12,205.66,0.00,268.22
AMZ-260516-00034,AMZ-00089,2026-05-16,1,2841.60,425.62,367.12,80.00,355.26
AMZ-260718-00035,AMZ-00017,2026-07-18,1,2137.32,325.28,307.07,120.00,86.56
AMZ-260515-00036,AMZ-00106,2026-05-15,2,3401.50,373.40,436.13,0.00,96.43
AMZ-260621-00037,AMZ-00087,2026-06-21,3,794.46,56.22,116.24,0.00,55.58
AMZ-260705-00038,AMZ-00089,2026-07-05,3,8985.33,1263.98,1286.15,0.00,560.46
AMZ-260719-00039,AMZ-00006,2026-07-19,1,1561.52,162.43,227.18,120.00,60.95
AMZ-260530-00040,AMZ-00104,2026-05-30,1,3036.22,377.35,443.33,0.00,158.82
AMZ-260818-00041,AMZ-00035,2026-08-18,2,6733.46,55.65,954.52,0.00,807.27
AMZ-260604-00042,AMZ-00116,2026-06-04,1,2877.00,368.70,404.54,80.00,424.33
AMZ-260807-00043,AMZ-00102,2026-08-07,2,3085.94,99.63,401.72,80.00,145.55
AMZ-260705-00044,AMZ-00065,2026-07-05,2,3985.72,98.98,470.43,60.00,544.89
AMZ-260512-00045,AMZ-00002,2026-05-12,1,3341.57,326.96,449.56,60.00,115.08
AMZ-260527-00046,AMZ-00001,2026-05-27,1,741.00,20.53,87.18,120.00,31.53
AMZ-260711-00047,AMZ-00046,2026-07-11,4,10348.16,1053.70,1202.04,40.00,1076.87
AMZ-260704-00048,AMZ-00030,2026-07-04,4,5834.88,653.30,858.80,0.00,660.06
AMZ-260625-00049,AMZ-00019,2026-06-25,1,1963.41,148.96,227.22,40.00,86.88
AMZ-260512-00050,AMZ-00114,2026-05-12,1,847.99,82.90,107.32,0.00,95.78
AMZ-260809-00051,AMZ-00019,2026-08-09,1,2008.24,101.87,254.68,0.00,67.50
AMZ-260518-00052,AMZ-00058,2026-05-18,1,920.67,83.34,125.00,0.00,113.29
AMZ-260713-00053,AMZ-00071,2026-07-13,2,3463.88,304.35,467.33,0.00,299.25
AMZ-260824-00054,AMZ-00064,2026-08-24,1,1349.85,191.44,175.67,40.00,194.80
AMZ-260602-00055,AMZ-00089,2026-06-02,2,5518.28,739.35,634.70,80.00,497.59
AMZ-260813-00056,AMZ-00007,2026-08-13,1,2741.55,123.09,321.44,80.00,209.79
AMZ-260508-00057,AMZ-00088,2026-05-08,1,1564.69,207.08,195.61,80.00,215.16
AMZ-260529-00058,AMZ-00086,2026-05-29,1,1794.53,104.78,267.96,60.00,293.62
AMZ-260620-00059,AMZ-00054,2026-06-20,3,3763.35,424.75,509.91,0.00,294.39
AMZ-260720-00060,AMZ-00041,2026-07-20,1,1516.10,39.72,216.98,0.00,81.03
AMZ-260823-00061,AMZ-00111,2026-08-23,4,2178.16,345.13,278.76,40.00,93.92
AMZ-260609-00062,AMZ-00102,2026-06-09,1,1686.15,117.03,196.23,0.00,157.54
AMZ-260530-00063,AMZ-00037,2026-05-30,1,1337.42,49.83,173.35,120.00,95.04
AMZ-260726-00064,AMZ-00120,2026-07-26,2,5377.06,209.63,727.87,40.00,808.90
AMZ-260618-00065,AMZ-00067,2026-06-18,2,3218.34,29.92,423.35,60.00,270.99
AMZ-260820-00066,AMZ-00106,2026-08-20,1,1678.97,206.48,218.58,80.00,232.36
AMZ-260606-00067,AMZ-00052,2026-06-06,4,4758.60,259.32,624.45,60.00,471.63
AMZ-260503-00068,AMZ-00063,2026-05-03,1,269.78,27.23,33.38,0.00,13.73
AMZ-260601-00069,AMZ-00038,2026-06-01,1,3111.11,223.11,416.39,0.00,219.86
AMZ-260619-00070,AMZ-00068,2026-06-19,1,4725.03,479.13,636.43,0.00,752.67
AMZ-260827-00071,AMZ-00106,2026-08-27,1,1765.66,203.60,248.95,80.00,272.55
AMZ-260509-00072,AMZ-00056,2026-05-09,3,8212.29,578.26,1116.95,0.00,862.38
AMZ-260513-00073,AMZ-00051,2026-05-13,4,2926.00,343.51,362.86,120.00,368.00
AMZ-260605-00074,AMZ-00001,2026-06-05,1,746.99,58.53,96.09,0.00,122.43
AMZ-260530-00075,AMZ-00040,2026-05-30,4,6775.32,91.95,960.61,0.00,757.35
AMZ-260623-00076,AMZ-00032,2026-06-23,4,15315.68,913.31,1757.66,80.00,537.28
AMZ-260731-00077,AMZ-00112,2026-07-31,2,2672.30,370.04,378.76,60.00,324.42
AMZ-260817-00078,AMZ-00046,2026-08-17,1,2537.39,348.38,331.31,0.00,67.15
AMZ-260703-00079,AMZ-00032,2026-07-03,2,8020.06,1149.29,960.55,0.00,898.30
AMZ-260702-00080,AMZ-00050,2026-07-02,3,10591.68,506.61,1334.35,0.00,1195.57
AMZ-260705-00081,AMZ-00014,2026-07-05,1,3181.54,43.17,440.60,120.00,255.12
AMZ-260704-00082,AMZ-00051,2026-07-04,3,2196.75,143.38,291.99,120.00,103.74
AMZ-260811-00083,AMZ-00023,2026-08-11,4,15963.92,1002.20,2073.39,60.00,2503.02
AMZ-260513-00084,AMZ-00042,2026-05-13,1,1314.32,42.47,168.47,0.00,41.53
AMZ-260814-00085,AMZ-00116,2026-08-14,2,6024.52,924.60,792.79,0.00,728.24
AMZ-260611-00086,AMZ-00118,2026-06-11,1,1287.67,67.03,168.88,120.00,203.07
AMZ-260526-00087,AMZ-00119,2026-05-26,2,8483.72,406.38,1044.15,60.00,534.77
AMZ-260611-00088,AMZ-00022,2026-06-11,1,2961.18,266.03,417.73,120.00,401.03
AMZ-260812-00089,AMZ-00077,2026-08-12,1,1875.22,202.40,273.22,40.00,254.60
AMZ-260626-00090,AMZ-00033,2026-06-26,3,1436.76,23.42,212.29,0.00,180.82
AMZ-260821-00091,AMZ-00094,2026-08-21,2,5953.24,914.20,667.37,40.00,229.03
AMZ-260708-00092,AMZ-00007,2026-07-08,1,2883.40,238.09,324.35,0.00,203.39
AMZ-260716-00093,AMZ-00103,2026-07-16,1,1385.15,154.74,169.38,0.00,75.12
AMZ-260528-00094,AMZ-00059,2026-05-28,1,3008.04,53.94,332.53,0.00,470.93
AMZ-260602-00095,AMZ-00014,2026-06-02,2,6480.96,447.27,928.77,40.00,887.48
AMZ-260528-00096,AMZ-00064,2026-05-28,1,1270.46,97.54,151.70,0.00,155.40
AMZ-260530-00097,AMZ-00090,2026-05-30,1,1185.43,87.39,137.95,120.00,150.14
AMZ-260608-00098,AMZ-00073,2026-06-08,1,739.52,1.10,82.62,0.00,43.01
AMZ-260724-00099,AMZ-00019,2026-07-24,1,1923.90,175.22,276.33,60.00,207.27
AMZ-260603-00100,AMZ-00060,2026-06-03,1,1639.59,42.69,235.88,80.00,233.05
AMZ-260530-00101,AMZ-00035,2026-05-30,1,3563.78,344.08,444.05,120.00,572.13
AMZ-260518-00102,AMZ-00089,2026-05-18,3,8780.16,843.93,1111.98,0.00,495.64
AMZ-260807-00103,AMZ-00077,2026-08-07,1,1666.32,92.38,194.88,0.00,51.71
AMZ-260810-00104,AMZ-00080,2026-08-10,2,7748.70,393.20,1035.69,60.00,1202.65
AMZ-260802-00105,AMZ-00029,2026-08-02,1,2014.27,55.74,300.49,0.00,207.79
AMZ-260819-00106,AMZ-00032,2026-08-19,1,4304.14,402.62,626.23,0.00,191.32
AMZ-260619-00107,AMZ-00011,2026-06-19,4,9493.40,414.96,1269.15,40.00,341.15
AMZ-260611-00108,AMZ-00016,2026-06-11,1,1316.35,3.82,157.33,60.00,156.66
AMZ-260809-00109,AMZ-00102,2026-08-09,3,4971.63,440.32,680.75,0.00,405.21
AMZ-260731-00110,AMZ-00064,2026-07-31,2,2706.68,425.89,353.41,40.00,211.86
AMZ-260505-00111,AMZ-00114,2026-05-05,1,857.66,55.98,124.53,80.00,35.36
AMZ-260520-00112,AMZ-00079,2026-05-20,1,1883.26,289.74,222.76,60.00,90.46
AMZ-260827-00113,AMZ-00111,2026-08-27,3,1513.20,113.74,219.05,120.00,195.96
AMZ-260619-00114,AMZ-00078,2026-06-19,1,665.54,77.86,88.34,40.00,86.65
AMZ-260802-00115,AMZ-00054,2026-08-02,1,1281.17,163.60,151.78,120.00,50.27
AMZ-260624-00116,AMZ-00052,2026-06-24,2,2415.32,145.75,350.50,0.00,312.97
AMZ-260715-00117,AMZ-00076,2026-07-15,1,1021.05,94.92,136.79,0.00,84.62
AMZ-260630-00118,AMZ-00070,2026-06-30,4,6297.28,380.06,728.05,40.00,527.32
AMZ-260606-00119,AMZ-00040,2026-06-06,1,1602.89,244.90,183.30,60.00,90.36
AMZ-260710-00120,AMZ-00057,2026-07-10,3,1664.58,53.82,217.82,120.00,93.21
AMZ-260624-00121,AMZ-00007,2026-06-24,1,2737.86,210.92,372.21,0.00,439.43
AMZ-260815-00122,AMZ-00081,2026-08-15,1,359.50,16.96,52.02,0.00,49.57
AMZ-260513-00123,AMZ-00093,2026-05-13,4,2939.72,448.25,340.64,120.00,101.59
AMZ-260527-00124,AMZ-00113,2026-05-27,1,2620.70,354.65,345.02,40.00,277.62
AMZ-260510-00125,AMZ-00063,2026-05-10,1,245.99,33.53,34.23,0.00,24.99
AMZ-260810-00126,AMZ-00089,2026-08-10,1,2790.39,339.32,330.84,0.00,357.50
AMZ-260619-00127,AMZ-00073,2026-06-19,4,2950.24,47.39,423.40,0.00,202.27
AMZ-260718-00128,AMZ-00075,2026-07-18,1,632.99,24.84,90.96,0.00,83.03
AMZ-260729-00129,AMZ-00069,2026-07-29,3,2061.06,81.92,240.71,0.00,132.05
AMZ-260509-00130,AMZ-00005,2026-05-09,4,9160.48,758.72,1201.49,120.00,870.35
AMZ-260808-00131,AMZ-00048,2026-08-08,2,2977.38,59.86,384.97,40.00,504.26
AMZ-260518-00132,AMZ-00101,2026-05-18,4,5358.84,178.10,598.43,0.00,352.17
AMZ-260519-00133,AMZ-00046,2026-05-19,1,2445.44,237.94,308.41,120.00,220.20
AMZ-260719-00134,AMZ-00064,2026-07-19,2,2780.62,364.06,358.09,0.00,341.32
AMZ-260808-00135,AMZ-00101,2026-08-08,1,1304.99,10.46,184.63,120.00,105.32
AMZ-260507-00136,AMZ-00079,2026-05-07,2,4076.98,138.26,520.15,80.00,663.94
AMZ-260730-00137,AMZ-00035,2026-07-30,2,7600.54,341.59,975.70,0.00,285.35
AMZ-260622-00138,AMZ-00096,2026-06-22,1,1709.82,107.49,210.22,0.00,269.64
AMZ-260726-00139,AMZ-00050,2026-07-26,2,6900.84,662.14,1018.24,40.00,629.59
AMZ-260706-00140,AMZ-00064,2026-07-06,1,1340.44,181.44,171.62,0.00,41.77
AMZ-260729-00141,AMZ-00035,2026-07-29,4,15198.32,1292.26,1858.70,80.00,1793.87
AMZ-260725-00142,AMZ-00044,2026-07-25,4,16162.56,1042.52,2239.67,0.00,1727.81
AMZ-260727-00143,AMZ-00071,2026-07-27,2,3313.04,343.00,418.83,120.00,241.63
AMZ-260601-00144,AMZ-00056,2026-06-01,1,2528.61,270.05,344.78,0.00,289.84
AMZ-260815-00145,AMZ-00037,2026-08-15,1,1363.98,169.82,163.84,0.00,189.98
AMZ-260521-00146,AMZ-00110,2026-05-21,2,3106.08,68.91,424.96,0.00,220.28
AMZ-260728-00147,AMZ-00110,2026-07-28,4,6420.96,720.58,862.29,0.00,985.81
AMZ-260606-00148,AMZ-00090,2026-06-06,1,1227.21,191.67,168.41,60.00,93.15
AMZ-260704-00149,AMZ-00066,2026-07-04,1,964.43,94.16,141.77,0.00,84.06
AMZ-260609-00150,AMZ-00102,2026-06-09,3,4931.85,386.52,609.23,0.00,567.40
AMZ-260618-00151,AMZ-00098,2026-06-18,1,2409.85,325.17,336.31,120.00,368.43
AMZ-260528-00152,AMZ-00120,2026-05-28,3,8478.18,619.18,1150.05,80.00,518.96
AMZ-260606-00153,AMZ-00077,2026-06-06,1,1786.73,117.20,254.30,0.00,104.89
AMZ-260708-00154,AMZ-00035,2026-07-08,3,10102.92,543.34,1447.02,0.00,1430.37
AMZ-260723-00155,AMZ-00029,2026-07-23,1,1875.15,117.03,221.29,80.00,316.09
AMZ-260504-00156,AMZ-00114,2026-05-04,1,868.08,129.57,98.28,0.00,130.81
AMZ-260710-00157,AMZ-00113,2026-07-10,1,2679.31,379.33,307.75,80.00,297.89
AMZ-260709-00158,AMZ-00086,2026-07-09,3,5593.68,494.20,767.79,0.00,536.03
AMZ-260501-00159,AMZ-00096,2026-05-01,2,3570.92,295.08,495.95,120.00,145.05
AMZ-260608-00160,AMZ-00015,2026-06-08,4,2535.52,172.32,346.65,0.00,89.12
AMZ-260608-00161,AMZ-00092,2026-06-08,1,1365.18,179.38,167.97,80.00,109.69
AMZ-260725-00162,AMZ-00029,2026-07-25,2,3931.28,561.72,569.19,80.00,173.82
AMZ-260609-00163,AMZ-00110,2026-06-09,1,1603.63,17.32,177.23,0.00,60.15
AMZ-260811-00164,AMZ-00011,2026-08-11,1,2205.28,230.15,258.13,80.00,303.12
AMZ-260508-00165,AMZ-00004,2026-05-08,1,1927.01,166.17,219.91,120.00,269.20
AMZ-260705-00166,AMZ-00051,2026-07-05,1,728.67,87.71,101.84,80.00,67.70
AMZ-260607-00167,AMZ-00086,2026-06-07,1,1817.47,60.60,209.26,0.00,250.75
AMZ-260610-00168,AMZ-00092,2026-06-10,1,1259.68,165.90,187.85,0.00,98.20
AMZ-260827-00169,AMZ-00103,2026-08-27,1,1454.73,91.45,216.10,60.00,219.85
AMZ-260624-00170,AMZ-00115,2026-06-24,3,6720.51,705.46,935.19,0.00,441.28
AMZ-260729-00171,AMZ-00001,2026-07-29,2,1503.04,170.87,168.99,40.00,45.28
AMZ-260614-00172,AMZ-00112,2026-06-14,2,2509.70,168.11,358.23,40.00,336.45
AMZ-260519-00173,AMZ-00042,2026-05-19,2,2697.82,225.29,357.46,0.00,190.91
AMZ-260810-00174,AMZ-00077,2026-08-10,2,3320.20,112.77,450.57,0.00,526.59
AMZ-260809-00175,AMZ-00094,2026-08-09,1,3144.38,239.52,354.75,120.00,494.79
AMZ-260626-00176,AMZ-00041,2026-06-26,1,1455.10,158.20,166.42,60.00,80.56
AMZ-260513-00177,AMZ-00050,2026-05-13,1,3249.93,70.04,399.73,0.00,505.74
AMZ-260530-00178,AMZ-00042,2026-05-30,1,1363.64,57.78,161.61,0.00,158.76
AMZ-260504-00179,AMZ-00097,2026-05-04,4,5858.04,100.67,788.86,120.00,272.32
AMZ-260524-00180,AMZ-00049,2026-05-24,1,2430.89,318.86,363.10,80.00,230.02
AMZ-260526-00181,AMZ-00054,2026-05-26,1,1199.84,182.12,170.31,0.00,118.59
AMZ-260805-00182,AMZ-00111,2026-08-05,1,522.74,41.29,65.52,120.00,84.56
AMZ-260804-00183,AMZ-00097,2026-08-04,1,1469.83,75.51,168.34,60.00,82.24
AMZ-260504-00184,AMZ-00096,2026-05-04,3,4960.32,324.34,670.60,60.00,439.16
AMZ-260805-00185,AMZ-00046,2026-08-05,4,9867.44,519.84,1308.91,120.00,912.86
AMZ-260604-00186,AMZ-00047,2026-06-04,1,1990.42,102.14,249.33,60.00,154.57
AMZ-260606-00187,AMZ-00064,2026-06-06,1,1347.67,83.90,178.49,0.00,78.58
AMZ-260703-00188,AMZ-00091,2026-07-03,3,4508.19,669.02,615.77,0.00,459.20
AMZ-260718-00189,AMZ-00120,2026-07-18,1,2795.49,413.24,309.41,120.00,278.36
AMZ-260821-00190,AMZ-00074,2026-08-21,1,1226.11,5.21,176.23,60.00,172.78
AMZ-260525-00191,AMZ-00029,2026-05-25,1,1848.59,232.67,267.62,40.00,128.64
AMZ-260811-00192,AMZ-00119,2026-08-11,1,4046.54,103.97,525.51,40.00,576.55
AMZ-260529-00193,AMZ-00026,2026-05-29,2,2772.58,379.57,370.63,120.00,139.13
AMZ-260709-00194,AMZ-00116,2026-07-09,4,11573.36,1501.69,1533.60,0.00,1029.97
AMZ-260727-00195,AMZ-00077,2026-07-27,4,7007.48,414.83,806.68,60.00,610.76
AMZ-260527-00196,AMZ-00106,2026-05-27,3,4914.42,238.88,547.64,80.00,753.46
AMZ-260630-00197,AMZ-00113,2026-06-30,2,5641.84,147.49,706.32,40.00,715.64
AMZ-260517-00198,AMZ-00095,2026-05-17,2,6206.72,518.63,719.64,0.00,353.51
AMZ-260629-00199,AMZ-00069,2026-06-29,1,650.64,98.62,92.42,0.00,50.10
AMZ-260530-00200,AMZ-00050,2026-05-30,4,13787.96,1922.39,1754.27,0.00,1484.80
AMZ-260613-00201,AMZ-00017,2026-06-13,1,2090.63,332.34,234.31,0.00,305.60
AMZ-260705-00202,AMZ-00025,2026-07-05,2,2932.68,21.17,419.85,0.00,496.07
AMZ-260603-00203,AMZ-00110,2026-06-03,1,1662.46,41.43,243.08,0.00,178.69
AMZ-260724-00204,AMZ-00105,2026-07-24,2,698.70,7.06,85.67,0.00,121.25
AMZ-260701-00205,AMZ-00095,2026-07-01,1,3295.26,49.71,455.09,0.00,519.60
AMZ-260516-00206,AMZ-00065,2026-05-16,3,5972.28,901.46,845.29,120.00,248.67
AMZ-260616-00207,AMZ-00037,2026-06-16,2,2971.16,461.98,384.27,40.00,340.56
AMZ-260812-00208,AMZ-00055,2026-08-12,1,1719.46,107.71,195.19,0.00,70.05
AMZ-260726-00209,AMZ-00069,2026-07-26,3,2161.59,211.74,252.14,40.00,68.78
AMZ-260603-00210,AMZ-00104,2026-06-03,1,3065.64,252.98,455.59,120.00,479.35
AMZ-260707-00211,AMZ-00005,2026-07-07,1,2120.95,21.49,281.40,0.00,124.43
AMZ-260601-00212,AMZ-00044,2026-06-01,4,15946.20,515.04,2146.26,40.00,2316.02
AMZ-260714-00213,AMZ-00079,2026-07-14,3,5793.27,83.96,739.08,120.00,364.76
AMZ-260810-00214,AMZ-00075,2026-08-10,4,2632.08,227.61,323.77,0.00,138.07
AMZ-260521-00215,AMZ-00023,2026-05-21,2,7826.96,286.34,916.43,60.00,1042.76
AMZ-260731-00216,AMZ-00086,2026-07-31,4,7166.72,570.64,933.96,0.00,711.93
AMZ-260603-00217,AMZ-00113,2026-06-03,1,2752.11,210.46,311.28,120.00,237.05
AMZ-260529-00218,AMZ-00089,2026-05-29,2,5741.70,46.70,739.48,0.00,1009.20
AMZ-260603-00219,AMZ-00060,2026-06-03,4,6116.08,804.60,862.30,40.00,675.77
AMZ-260624-00220,AMZ-00109,2026-06-24,1,2430.56,245.41,331.38,60.00,179.51
AMZ-260820-00221,AMZ-00094,2026-08-20,2,6212.22,422.51,808.98,120.00,878.98
AMZ-260628-00222,AMZ-00006,2026-06-28,2,2954.30,352.25,349.33,40.00,129.25
AMZ-260514-00223,AMZ-00045,2026-05-14,2,677.64,29.55,100.15,80.00,30.21
AMZ-260603-00224,AMZ-00097,2026-06-03,1,1500.62,127.11,210.33,0.00,223.09
AMZ-260809-00225,AMZ-00021,2026-08-09,2,2260.36,173.02,273.87,0.00,108.78
AMZ-260615-00226,AMZ-00030,2026-06-15,1,1453.80,164.00,187.92,0.00,52.22
AMZ-260709-00227,AMZ-00029,2026-07-09,3,6130.98,439.70,735.04,80.00,871.24
AMZ-260522-00228,AMZ-00041,2026-05-22,1,1505.44,94.44,210.49,0.00,93.32
AMZ-260523-00229,AMZ-00021,2026-05-23,1,1098.24,77.11,137.17,0.00,77.04
AMZ-260704-00230,AMZ-00109,2026-07-04,1,2451.60,195.32,353.81,80.00,285.31
AMZ-260626-00231,AMZ-00075,2026-06-26,4,2669.20,388.04,342.93,60.00,339.25
AMZ-260725-00232,AMZ-00092,2026-07-25,1,1308.17,103.46,173.54,0.00,109.75
AMZ-260717-00233,AMZ-00092,2026-07-17,2,2497.94,90.00,358.62,80.00,358.66
AMZ-260720-00234,AMZ-00093,2026-07-20,4,2908.28,146.27,351.77,120.00,249.27
AMZ-260715-00235,AMZ-00099,2026-07-15,2,1025.76,91.42,120.14,120.00,69.56
AMZ-260729-00236,AMZ-00027,2026-07-29,1,571.65,36.85,78.36,0.00,82.96
AMZ-260728-00237,AMZ-00081,2026-07-28,1,384.90,16.30,44.63,0.00,61.55
AMZ-260828-00238,AMZ-00036,2026-08-28,2,1122.14,49.59,135.58,80.00,187.35
AMZ-260827-00239,AMZ-00001,2026-08-27,1,700.61,86.96,87.75,40.00,89.46
AMZ-260809-00240,AMZ-00089,2026-08-09,3,7955.76,727.05,891.10,0.00,1294.75
AMZ-260816-00241,AMZ-00026,2026-08-16,1,1361.61,19.40,190.13,40.00,119.84
AMZ-260529-00242,AMZ-00019,2026-05-29,1,1912.68,125.49,275.64,0.00,182.14
AMZ-260728-00243,AMZ-00064,2026-07-28,2,2778.82,183.11,407.13,60.00,234.92
AMZ-260828-00244,AMZ-00009,2026-08-28,1,1048.85,16.41,124.10,80.00,103.49
AMZ-260618-00245,AMZ-00021,2026-06-18,1,1120.57,142.73,158.90,40.00,162.46
AMZ-260712-00246,AMZ-00077,2026-07-12,1,1715.01,37.05,216.40,0.00,287.89
AMZ-260618-00247,AMZ-00112,2026-06-18,1,1276.86,7.17,172.93,80.00,68.93
AMZ-260520-00248,AMZ-00053,2026-05-20,3,2428.02,330.60,289.85,0.00,329.83
AMZ-260811-00249,AMZ-00063,2026-08-11,1,250.56,24.81,28.94,120.00,32.51
AMZ-260520-00250,AMZ-00015,2026-05-20,3,1964.13,138.66,257.44,120.00,294.82
AMZ-260506-00251,AMZ-00119,2026-05-06,2,8581.52,395.24,1028.02,80.00,390.29
AMZ-260720-00252,AMZ-00038,2026-07-20,2,5972.56,377.56,872.67,40.00,828.25
AMZ-260801-00253,AMZ-00096,2026-08-01,1,1719.23,143.89,243.30,80.00,91.81
AMZ-260501-00254,AMZ-00055,2026-05-01,4,7354.40,1158.09,995.72,80.00,513.10
AMZ-260509-00255,AMZ-00080,2026-05-09,1,3577.14,236.02,434.90,120.00,539.03
AMZ-260712-00256,AMZ-00062,2026-07-12,3,4378.14,618.91,615.29,0.00,282.69
AMZ-260529-00257,AMZ-00025,2026-05-29,1,1424.50,189.08,169.64,60.00,41.59
AMZ-260608-00258,AMZ-00111,2026-06-08,2,1045.10,9.23,150.74,40.00,85.19
AMZ-260809-00259,AMZ-00091,2026-08-09,1,1523.67,12.40,183.67,0.00,215.29
AMZ-260527-00260,AMZ-00063,2026-05-27,3,806.34,27.86,113.61,80.00,85.39
AMZ-260804-00261,AMZ-00096,2026-08-04,1,1585.15,243.10,214.45,0.00,183.19
AMZ-260820-00262,AMZ-00045,2026-08-20,2,644.52,46.36,76.29,40.00,75.41
AMZ-260809-00263,AMZ-00003,2026-08-09,4,783.80,72.56,116.33,80.00,36.38
AMZ-260721-00264,AMZ-00021,2026-07-21,4,4506.36,121.95,513.77,120.00,270.81
AMZ-260615-00265,AMZ-00023,2026-06-15,1,4181.60,49.55,596.98,0.00,206.11
AMZ-260511-00266,AMZ-00089,2026-05-11,2,5737.08,809.78,750.77,80.00,619.71
AMZ-260619-00267,AMZ-00113,2026-06-19,2,5409.56,404.77,765.81,40.00,277.55
AMZ-260620-00268,AMZ-00094,2026-06-20,1,3057.97,412.00,419.72,0.00,210.43
AMZ-260814-00269,AMZ-00078,2026-08-14,3,2002.17,98.56,275.03,0.00,118.96
AMZ-260514-00270,AMZ-00079,2026-05-14,4,7937.32,368.08,1069.57,0.00,856.41
AMZ-260519-00271,AMZ-00054,2026-05-19,2,2342.96,259.99,321.27,60.00,273.31
AMZ-260730-00272,AMZ-00074,2026-07-30,1,1203.21,16.69,153.65,40.00,75.17
AMZ-260801-00273,AMZ-00100,2026-08-01,2,3224.08,281.55,415.68,0.00,423.91
AMZ-260510-00274,AMZ-00065,2026-05-10,1,2010.84,158.23,269.41,60.00,202.49
AMZ-260515-00275,AMZ-00120,2026-05-15,2,5676.46,437.40,736.50,0.00,881.49
AMZ-260825-00276,AMZ-00067,2026-08-25,1,1549.55,44.85,176.98,120.00,94.10
AMZ-260717-00277,AMZ-00071,2026-07-17,1,1728.21,202.81,229.38,40.00,53.12
AMZ-260513-00278,AMZ-00118,2026-05-13,1,1276.63,128.00,173.01,120.00,90.67
AMZ-260604-00279,AMZ-00037,2026-06-04,1,1369.68,198.50,191.74,80.00,123.01
AMZ-260613-00280,AMZ-00060,2026-06-13,3,4684.17,215.02,565.62,120.00,301.96
AMZ-260730-00281,AMZ-00077,2026-07-30,2,3748.52,315.94,539.93,120.00,432.00
AMZ-260608-00282,AMZ-00049,2026-06-08,4,9462.92,1260.97,1207.97,0.00,619.09
AMZ-260623-00283,AMZ-00029,2026-06-23,4,8262.36,1055.53,1016.38,120.00,507.14
