Name,Lineitem sku,Created at,Lineitem quantity,Lineitem price,Discount Amount,Shipping,Taxes
SHP-260727-00077,SHP-00011,2026-07-27 14:08:00 +0530,1,2341.63,367.58,0.00,111.35
SHP-260716-00078,SHP-00075,2026-07-16 19:54:00 +0530,2,1298.38,89.21,40.00,158.44
SHP-260517-00079,SHP-00112,2026-05-17 19:31:00 +0530,1,1435.13,186.12,0.00,101.76
SHP-260619-00080,SHP-00101,2026-06-19 18:00:00 +0530,1,1442.65,68.76,80.00,166.24
SHP-260719-00081,SHP-00012,2026-07-19 08:58:00 +0530,4,4613.12,442.78,40.00,469.56
SHP-260801-00082,SHP-00086,2026-08-01 16:10:00 +0530,2,3936.50,181.31,60.00,148.90
SHP-260604-00083,SHP-00028,2026-06-04 11:55:00 +0530,2,3706.74,197.43,120.00,458.16
SHP-260715-00084,SHP-00032,2026-07-15 20:09:00 +0530,1,4098.27,611.62,0.00,233.84
SHP-260708-00085,SHP-00089,2026-07-08 19:19:00 +0530,1,2840.86,8.52,120.00,297.92
SHP-260513-00086,SHP-00001,2026-05-13 15:23:00 +0530,1,776.14,105.64,120.00,95.76
SHP-260823-00087,SHP-00072,2026-08-23 16:29:00 +0530,1,2380.61,362.08,80.00,232.73
SHP-260619-00088,SHP-00113,2026-06-19 11:38:00 +0530,2,6004.36,561.64,0.00,170.99
SHP-260505-00089,SHP-00082,2026-05-05 12:53:00 +0530,4,10934.48,831.02,0.00,1108.84
SHP-260703-00090,SHP-00055,2026-07-03 12:42:00 +0530,4,7408.00,68.22,40.00,878.52
SHP-260624-00091,SHP-00073,2026-06-24 10:26:00 +0530,1,720.40,75.12,60.00,80.06
SHP-260825-00092,SHP-00011,2026-08-25 10:36:00 +0530,3,6987.48,495.17,60.00,498.39
SHP-260814-00093,SHP-00112,2026-08-14 11:25:00 +0530,1,1398.55,172.02,60.00,47.65
SHP-260825-00094,SHP-00088,2026-08-25 09:42:00 +0530,1,1657.44,30.02,0.00,212.06
SHP-260522-00095,SHP-00059,2026-05-22 11:37:00 +0530,1,3323.88,423.85,40.00,428.02
SHP-260801-00096,SHP-00099,2026-08-01 09:26:00 +0530,1,521.59,36.27,60.00,27.86
SHP-260523-00097,SHP-00089,2026-05-23 10:07:00 +0530,2,5784.02,187.79,0.00,933.34
SHP-260729-00098,SHP-00094,2026-07-29 21:41:00 +0530,2,6243.48,527.82,0.00,282.96
SHP-260711-00099,SHP-00114,2026-07-11 17:21:00 +0530,1,916.95,122.11,120.00,97.19
SHP-260528-00100,SHP-00076,2026-05-28 13:22:00 +0530,2,2223.94,58.68,40.00,252.71
SHP-260702-00101,SHP-00101,2026-07-02 18:04:00 +0530,3,4030.38,376.63,0.00,340.11
SHP-260824-00102,SHP-00078,2026-08-24 15:51:00 +0530,1,712.36,62.19,80.00,29.80
SHP-260501-00103,SHP-00020,2026-05-01 12:49:00 +0530,2,2784.40,401.26,0.00,376.81
SHP-260809-00104,SHP-00006,2026-08-09 14:50:00 +0530,1,1660.32,142.47,0.00,139.92
SHP-260714-00105,SHP-00094,2026-07-14 16:06:00 +0530,1,3429.31,302.05,60.00,554.93
SHP-260701-00106,SHP-00049,2026-07-01 12:03:00 +0530,1,2629.80,41.38,80.00,116.61
SHP-260720-00107,SHP-00038,2026-07-20 13:54:00 +0530,1,3223.13,454.62,120.00,353.20
SHP-260519-00108,SHP-00038,2026-05-19 14:57:00 +0530,1,3255.84,354.66,0.00,476.81
SHP-260824-00109,SHP-00110,2026-08-24 20:47:00 +0530,2,3528.94,214.98,60.00,457.12
SHP-260613-00110,SHP-00037,2026-06-13 08:58:00 +0530,4,5642.20,165.33,60.00,948.03
SHP-260730-00111,SHP-00028,2026-07-30 11:08:00 +0530,1,1959.63,236.06,0.00,73.92
SHP-260621-00112,SHP-00090,2026-06-21 12:55:00 +0530,1,1247.28,15.97,0.00,205.18
SHP-260722-00113,SHP-00099,2026-07-22 19:48:00 +0530,1,540.25,53.27,0.00,40.29
SHP-260810-00114,SHP-00019,2026-08-10 17:32:00 +0530,4,8384.32,299.75,0.00,288.08
SHP-260813-00115,SHP-00044,2026-08-13 15:14:00 +0530,2,8757.68,1393.31,0.00,734.60
SHP-260806-00116,SHP-00011,2026-08-06 09:41:00 +0530,2,5107.52,663.38,120.00,441.99
SHP-260521-00117,SHP-00041,2026-05-21 15:39:00 +0530,1,1642.28,164.35,0.00,159.48
SHP-260815-00118,SHP-00069,2026-08-15 12:43:00 +0530,1,728.99,88.68,0.00,73.41
SHP-260801-00119,SHP-00106,2026-08-01 17:40:00 +0530,2,3349.04,404.54,80.00,315.25
SHP-260628-00120,SHP-00061,2026-06-28 12:24:00 +0530,2,4929.28,236.80,40.00,282.89
SHP-260606-00121,SHP-00061,2026-06-06 14:41:00 +0530,2,4886.80,136.04,80.00,403.49
SHP-260611-00122,SHP-00088,2026-06-11 12:39:00 +0530,1,1811.81,194.50,40.00,120.90
SHP-260528-00123,SHP-00075,2026-05-28 11:22:00 +0530,2,1400.80,114.89,0.00,129.88
SHP-260713-00124,SHP-00113,2026-07-13 20:13:00 +0530,1,2922.77,216.18,0.00,442.20
SHP-260824-00125,SHP-00085,2026-08-24 13:02:00 +0530,1,1007.16,139.17,80.00,29.13
SHP-260810-00126,SHP-00075,2026-08-10 15:01:00 +0530,3,2012.58,178.54,60.00,124.47
SHP-260723-00127,SHP-00035,2026-07-23 09:07:00 +0530,2,7696.66,408.99,80.00,1121.86
SHP-260712-00128,SHP-00026,2026-07-12 09:28:00 +0530,1,1343.88,25.68,60.00,70.19
SHP-260622-00129,SHP-00066,2026-06-22 14:47:00 +0530,2,1989.68,89.46,0.00,145.81
SHP-260612-00130,SHP-00086,2026-06-12 21:05:00 +0530,4,7472.88,311.55,40.00,384.62
SHP-260810-00131,SHP-00015,2026-08-10 12:06:00 +0530,4,2684.76,363.99,60.00,79.21
SHP-260623-00132,SHP-00018,2026-06-23 18:47:00 +0530,3,4653.75,620.43,40.00,137.52
SHP-260602-00133,SHP-00099,2026-06-02 18:57:00 +0530,1,558.90,55.76,120.00,37.15
SHP-260706-00134,SHP-00069,2026-07-06 20:46:00 +0530,1,699.67,29.57,40.00,79.87
SHP-260530-00135,SHP-00096,2026-05-30 12:33:00 +0530,3,5285.61,7.89,0.00,749.59
SHP-260630-00136,SHP-00058,2026-06-30 16:14:00 +0530,1,996.90,139.96,80.00,31.61
SHP-260711-00137,SHP-00103,2026-07-11 16:39:00 +0530,1,1495.56,132.25,0.00,89.94
SHP-260528-00138,SHP-00116,2026-05-28 14:15:00 +0530,3,9706.98,229.44,60.00,1444.54
SHP-260704-00139,SHP-00021,2026-07-04 15:27:00 +0530,1,1190.02,124.15,60.00,87.46
SHP-260703-00140,SHP-00100,2026-07-03 12:18:00 +0530,1,1657.49,144.81,40.00,62.46
SHP-260510-00141,SHP-00104,2026-05-10 09:46:00 +0530,1,3337.67,165.76,0.00,425.54
SHP-260611-00142,SHP-00017,2026-06-11 14:59:00 +0530,1,2269.33,139.99,60.00,78.83
SHP-260721-00143,SHP-00022,2026-07-21 20:30:00 +0530,4,13195.48,728.29,0.00,673.74
SHP-260531-00144,SHP-00017,2026-05-31 13:22:00 +0530,2,4290.62,457.96,80.00,325.50
SHP-260823-00145,SHP-00065,2026-08-23 21:34:00 +0530,4,7651.24,842.04,40.00,1188.25
SHP-260731-00146,SHP-00011,2026-07-31 09:07:00 +0530,1,2554.14,351.96,60.00,336.55
SHP-260706-00147,SHP-00072,2026-07-06 13:46:00 +0530,2,4388.80,350.17,0.00,518.18
SHP-260616-00148,SHP-00012,2026-06-16 18:03:00 +0530,3,3503.70,5.68,80.00,433.46
SHP-260623-00149,SHP-00119,2026-06-23 18:07:00 +0530,1,4508.98,684.48,80.00,676.35
SHP-260516-00150,SHP-00078,2026-05-16 10:10:00 +0530,4,2842.44,68.99,80.00,131.79
SHP-260506-00151,SHP-00051,2026-05-06 14:54:00 +0530,1,753.37,2.49,40.00,134.49
SHP-260728-00152,SHP-00021,2026-07-28 19:59:00 +0530,1,1198.54,86.93,0.00,34.28
SHP-260625-00153,SHP-00094,2026-06-25 18:25:00 +0530,2,6550.18,100.69,0.00,450.98
SHP-260507-00154,SHP-00019,2026-05-07 17:34:00 +0530,2,4037.76,17.87,80.00,143.65
SHP-260514-00155,SHP-00029,2026-05-14 19:19:00 +0530,3,6310.23,407.03,120.00,313.92
SHP-260606-00156,SHP-00115,2026-06-06 09:03:00 +0530,3,7071.75,326.77,40.00,340.42
SHP-260504-00157,SHP-00051,2026-05-04 20:04:00 +0530,1,819.74,68.66,0.00,93.04
SHP-260509-00158,SHP-00013,2026-05-09 17:48:00 +0530,3,6304.98,577.74,0.00,243.37
SHP-260514-00159,SHP-00063,2026-05-14 08:36:00 +0530,1,264.89,30.91,0.00,9.35
SHP-260522-00160,SHP-00016,2026-05-22 13:08:00 +0530,2,2618.10,27.26,120.00,286.63
SHP-260729-00161,SHP-00065,2026-07-29 11:58:00 +0530,2,4188.02,559.63,0.00,342.68
SHP-260506-00162,SHP-00001,2026-05-06 10:57:00 +0530,1,769.03,10.44,0.00,66.30
SHP-260509-00163,SHP-00068,2026-05-09 11:03:00 +0530,1,4780.80,100.83,80.00,746.33
SHP-260516-00164,SHP-00061,2026-05-16 21:00:00 +0530,1,2332.93,24.75,60.00,179.29
SHP-260505-00165,SHP-00114,2026-05-05 11:19:00 +0530,2,1752.46,179.79,0.00,218.24
SHP-260602-00166,SHP-00101,2026-06-02 18:09:00 +0530,1,1346.41,39.46,120.00,126.45
SHP-260625-00167,SHP-00094,2026-06-25 18:55:00 +0530,1,3364.22,349.97,60.00,440.07
SHP-260731-00168,SHP-00099,2026-07-31 10:05:00 +0530,2,1129.32,64.77,80.00,77.13
SHP-260701-00169,SHP-00066,2026-07-01 20:20:00 +0530,1,910.72,135.73,0.00,103.38
SHP-260603-00170,SHP-00024,2026-06-03 08:41:00 +0530,2,3014.02,290.54,120.00,269.71
SHP-260617-00171,SHP-00080,2026-06-17 15:42:00 +0530,4,15624.68,1070.26,0.00,1365.66
SHP-260825-00172,SHP-00071,2026-08-25 16:39:00 +0530,1,1744.39,10.25,0.00,189.32
SHP-260511-00173,SHP-00083,2026-05-11 08:50:00 +0530,1,3695.26,155.22,80.00,436.95
SHP-260814-00174,SHP-00026,2026-08-14 16:08:00 +0530,1,1377.08,9.73,0.00,126.26
SHP-260824-00175,SHP-00118,2026-08-24 12:08:00 +0530,1,1400.45,111.66,120.00,146.69
SHP-260616-00176,SHP-00102,2026-06-16 14:44:00 +0530,2,3350.16,16.83,0.00,523.02
SHP-260715-00177,SHP-00042,2026-07-15 13:11:00 +0530,1,1414.33,35.17,60.00,151.72
SHP-260618-00178,SHP-00065,2026-06-18 17:06:00 +0530,1,1939.32,175.33,40.00,91.53
SHP-260519-00179,SHP-00103,2026-05-19 21:49:00 +0530,1,1530.38,106.21,0.00,236.68
SHP-260622-00180,SHP-00099,2026-06-22 14:33:00 +0530,1,521.18,35.09,0.00,63.34
SHP-260503-00181,SHP-00116,2026-05-03 11:56:00 +0530,2,6034.90,764.44,0.00,290.17
SHP-260612-00182,SHP-00076,2026-06-12 12:21:00 +0530,4,4175.32,556.65,60.00,219.68
SHP-260709-00183,SHP-00036,2026-07-09 09:53:00 +0530,4,2484.08,44.01,120.00,249.69
SHP-260719-00184,SHP-00054,2026-07-19 10:48:00 +0530,1,1321.76,95.86,0.00,190.94
SHP-260521-00185,SHP-00057,2026-05-21 08:02:00 +0530,1,596.92,21.13,0.00,68.55
SHP-260719-00186,SHP-00048,2026-07-19 17:16:00 +0530,2,3341.48,400.94,0.00,114.39
SHP-260625-00187,SHP-00091,2026-06-25 11:20:00 +0530,1,1582.39,141.97,0.00,152.25
SHP-260630-00188,SHP-00045,2026-06-30 09:47:00 +0530,4,1430.80,207.82,80.00,218.49
SHP-260821-00189,SHP-00038,2026-08-21 19:31:00 +0530,3,9073.74,1401.20,60.00,465.44
SHP-260610-00190,SHP-00073,2026-06-10 08:42:00 +0530,1,702.47,77.90,80.00,98.24
SHP-260608-00191,SHP-00103,2026-06-08 08:31:00 +0530,1,1624.59,39.69,80.00,212.03
SHP-260814-00192,SHP-00043,2026-08-14 11:06:00 +0530,2,1861.86,68.78,40.00,155.60
SHP-260614-00193,SHP-00074,2026-06-14 14:26:00 +0530,2,2667.56,247.14,0.00,218.94
SHP-260602-00194,SHP-00010,2026-06-02 15:20:00 +0530,4,11512.20,1374.60,40.00,880.52
SHP-260710-00195,SHP-00056,2026-07-10 13:17:00 +0530,1,2926.73,424.07,60.00,405.73
SHP-260825-00196,SHP-00106,2026-08-25 16:55:00 +0530,2,3636.96,287.96,120.00,446.49
SHP-260617-00197,SHP-00013,2026-06-17 09:30:00 +0530,3,6501.93,520.03,40.00,473.93
SHP-260707-00198,SHP-00101,2026-07-07 20:21:00 +0530,1,1423.33,118.43,0.00,64.41
SHP-260529-00199,SHP-00076,2026-05-29 12:58:00 +0530,1,1066.50,119.80,0.00,153.53
SHP-260810-00200,SHP-00039,2026-08-10 19:27:00 +0530,2,1001.96,47.47,0.00,154.02
SHP-260517-00201,SHP-00062,2026-05-17 15:16:00 +0530,2,2955.12,356.08,120.00,145.54
SHP-260819-00202,SHP-00018,2026-08-19 10:08:00 +0530,1,1579.45,34.53,120.00,191.42
SHP-260508-00203,SHP-00046,2026-05-08 20:09:00 +0530,2,5446.66,135.52,80.00,602.97
SHP-260513-00204,SHP-00038,2026-05-13 09:12:00 +0530,1,3118.13,97.13,0.00,418.82
SHP-260516-00205,SHP-00055,2026-05-16 15:32:00 +0530,2,3461.42,420.11,0.00,289.23
SHP-260512-00206,SHP-00112,2026-05-12 16:31:00 +0530,1,1310.00,184.03,40.00,150.47
SHP-260619-00207,SHP-00084,2026-06-19 09:28:00 +0530,2,3015.30,10.86,80.00,141.71
SHP-260820-00208,SHP-00112,2026-08-20 17:23:00 +0530,1,1349.74,23.56,0.00,222.13
SHP-260813-00209,SHP-00015,2026-08-13 16:50:00 +0530,2,1397.58,128.58,0.00,132.27
SHP-260811-00210,SHP-00097,2026-08-11 13:45:00 +0530,3,4651.71,513.62,0.00,415.04
SHP-260507-00211,SHP-00014,2026-05-07 18:28:00 +0530,1,3474.70,152.08,0.00,432.25
SHP-260806-00212,SHP-00012,2026-08-06 17:15:00 +0530,2,2338.50,84.17,40.00,317.47
SHP-260618-00213,SHP-00006,2026-06-18 19:24:00 +0530,2,3120.00,367.40,80.00,476.46
SHP-260731-00214,SHP-00008,2026-07-31 11:25:00 +0530,2,5967.22,109.82,120.00,215.64
SHP-260620-00215,SHP-00059,2026-06-20 08:58:00 +0530,1,3474.82,258.66,0.00,515.47
SHP-260818-00216,SHP-00089,2026-08-18 17:39:00 +0530,4,12106.52,39.79,0.00,2155.91
SHP-260709-00217,SHP-00040,2026-07-09 10:22:00 +0530,3,5377.65,10.54,0.00,516.83
SHP-260720-00218,SHP-00029,2026-07-20 10:02:00 +0530,2,4050.68,375.42,120.00,593.99
SHP-260531-00219,SHP-00108,2026-05-31 18:10:00 +0530,4,9862.12,907.87,0.00,1324.86
SHP-260525-00220,SHP-00025,2026-05-25 12:18:00 +0530,3,4391.73,514.11,0.00,495.12
SHP-260529-00221,SHP-00008,2026-05-29 10:18:00 +0530,4,11175.08,392.62,40.00,877.32
SHP-260502-00222,SHP-00033,2026-05-02 18:03:00 +0530,1,474.32,20.80,40.00,81.12
SHP-260630-00223,SHP-00061,2026-06-30 11:53:00 +0530,1,2269.21,213.15,0.00,217.63
SHP-260519-00224,SHP-00023,2026-05-19 08:33:00 +0530,1,4157.48,172.18,120.00,625.17
SHP-260822-00225,SHP-00006,2026-08-22 19:09:00 +0530,2,3361.98,129.25,0.00,504.24
SHP-260622-00226,SHP-00017,2026-06-22 14:21:00 +0530,1,2093.85,293.29,80.00,116.06
SHP-260703-00227,SHP-00014,2026-07-03 16:36:00 +0530,1,3452.27,381.31,120.00,357.12
SHP-260605-00228,SHP-00091,2026-06-05 11:37:00 +0530,4,6101.72,629.88,60.00,661.87
SHP-260821-00229,SHP-00024,2026-08-21 16:44:00 +0530,1,1564.35,240.25,80.00,202.73
SHP-260611-00230,SHP-00029,2026-06-11 12:30:00 +0530,1,2007.68,1.12,40.00,351.17
SHP-260729-00231,SHP-00081,2026-07-29 18:14:00 +0530,1,386.73,49.71,60.00,60.64
SHP-260618-00232,SHP-00108,2026-06-18 13:09:00 +0530,1,2407.38,6.71,0.00,113.21
SHP-260510-00233,SHP-00099,2026-05-10 14:42:00 +0530,2,1148.84,40.64,0.00,51.30
SHP-260620-00234,SHP-00050,2026-06-20 10:51:00 +0530,1,3389.34,534.32,40.00,139.35
SHP-260502-00235,SHP-00113,2026-05-02 16:00:00 +0530,1,3008.34,131.57,0.00,87.54
SHP-260827-00236,SHP-00025,2026-08-27 16:03:00 +0530,4,5937.40,191.51,60.00,775.65
SHP-260717-00237,SHP-00076,2026-07-17 12:47:00 +0530,4,4390.08,184.67,60.00,203.15
SHP-260718-00238,SHP-00007,2026-07-18 09:05:00 +0530,1,3167.59,104.45,0.00,247.67
SHP-260605-00239,SHP-00002,2026-06-05 16:40:00 +0530,1,3487.98,173.78,0.00,427.86
SHP-260604-00240,SHP-00061,2026-06-04 11:25:00 +0530,2,4686.38,449.73,40.00,736.41
SHP-260725-00241,SHP-00051,2026-07-25 19:48:00 +0530,1,754.47,102.56,120.00,44.50
SHP-260510-00242,SHP-00115,2026-05-10 14:26:00 +0530,1,2541.99,149.47,0.00,186.86
SHP-260506-00243,SHP-00077,2026-05-06 16:39:00 +0530,2,3689.22,526.35,0.00,112.00
SHP-260629-00244,SHP-00018,2026-06-29 19:53:00 +0530,4,6817.92,242.93,60.00,545.21
SHP-260624-00245,SHP-00043,2026-06-24 13:27:00 +0530,2,1828.24,17.20,40.00,296.75
SHP-260727-00246,SHP-00004,2026-07-27 12:37:00 +0530,1,1859.28,214.72,0.00,186.66
SHP-260508-00247,SHP-00058,2026-05-08 16:36:00 +0530,4,3818.96,301.95,0.00,193.50
SHP-260519-00248,SHP-00052,2026-05-19 13:50:00 +0530,1,1251.86,62.37,0.00,148.15
SHP-260618-00249,SHP-00076,2026-06-18 13:25:00 +0530,2,2151.64,154.73,80.00,177.79
SHP-260608-00250,SHP-00009,2026-06-08 09:34:00 +0530,1,1055.09,5.84,0.00,74.78
SHP-260705-00251,SHP-00080,2026-07-05 09:00:00 +0530,3,12390.12,1578.14,40.00,483.76
SHP-260527-00252,SHP-00110,2026-05-27 18:00:00 +0530,2,3289.52,315.04,80.00,250.80
SHP-260612-00253,SHP-00116,2026-06-12 10:01:00 +0530,1,3242.15,272.79,0.00,291.95
SHP-260504-00254,SHP-00053,2026-05-04 12:53:00 +0530,1,850.32,59.64,80.00,33.38
SHP-260816-00255,SHP-00035,2026-08-16 17:19:00 +0530,1,3558.06,336.50,0.00,536.33
SHP-260503-00256,SHP-00097,2026-05-03 09:34:00 +0530,2,3229.12,423.53,80.00,249.10
SHP-260818-00257,SHP-00108,2026-08-18 10:21:00 +0530,1,2443.92,150.61,120.00,204.66
SHP-260603-00258,SHP-00061,2026-06-03 09:30:00 +0530,2,4690.60,463.04,0.00,165.41
SHP-260716-00259,SHP-00012,2026-07-16 09:42:00 +0530,1,1175.58,159.18,80.00,87.63
SHP-260518-00260,SHP-00080,2026-05-18 21:09:00 +0530,2,7970.66,985.42,60.00,408.68
SHP-260608-00261,SHP-00059,2026-06-08 18:31:00 +0530,1,3365.79,204.42,60.00,514.50
SHP-260721-00262,SHP-00011,2026-07-21 09:06:00 +0530,4,10183.04,273.62,0.00,722.09
