Return ID,Order Name,Lineitem sku,Return Date,Return Quantity,Return Reason,Refund Amount
SHP-RET-00039,SHP-260607-00368,SHP-00082,2026-06-28,1,Duplicate purchase,2461.27
SHP-RET-00040,SHP-260602-00052,SHP-00087,2026-06-28,2,Quality concern,509.55
SHP-RET-00041,SHP-260801-00025,SHP-00071,2026-08-21,3,Missing accessory,5104.64
SHP-RET-00042,SHP-260717-00237,SHP-00076,2026-08-16,2,Missing accessory,1964.86
SHP-RET-00043,SHP-260624-00091,SHP-00073,2026-07-03,1,Missing accessory,608.08
SHP-RET-00044,SHP-260810-00200,SHP-00039,2026-08-31,1,Wrong item received,440.4
SHP-RET-00045,SHP-260819-00202,SHP-00018,2026-08-29,1,Missing accessory,1436.69
SHP-RET-00046,SHP-260621-00112,SHP-00090,2026-07-01,1,Quality concern,1137.95
SHP-RET-00047,SHP-260503-00069,SHP-00022,2026-05-21,1,Duplicate purchase,2935.7
SHP-RET-00048,SHP-260601-00266,SHP-00110,2026-06-05,1,Product not as expected,1354.36
SHP-RET-00049,SHP-260531-00367,SHP-00026,2026-06-18,2,Duplicate purchase,2508.96
SHP-RET-00050,SHP-260702-00299,SHP-00106,2026-07-28,1,Late delivery,1542.02
SHP-RET-00051,SHP-260616-00176,SHP-00102,2026-07-07,1,Missing accessory,1626.51
SHP-RET-00052,SHP-260702-00292,SHP-00064,2026-07-21,1,Late delivery,1148.76
SHP-RET-00053,SHP-260703-00090,SHP-00055,2026-07-20,2,Missing accessory,3581.8
SHP-RET-00054,SHP-260622-00342,SHP-00101,2026-07-14,2,Quality concern,2802.94
SHP-RET-00055,SHP-260727-00246,SHP-00004,2026-08-02,1,Damaged in transit,1600.23
SHP-RET-00056,SHP-260513-00086,SHP-00001,2026-05-24,1,Damaged in transit,648.87
SHP-RET-00057,SHP-260710-00397,SHP-00024,2026-07-29,2,Customer changed mind,2380.87
SHP-RET-00058,SHP-260612-00130,SHP-00086,2026-06-26,2,Duplicate purchase,3372.32
SHP-RET-00059,SHP-260618-00213,SHP-00006,2026-07-18,2,Size or fit issue,2630.03
SHP-RET-00060,SHP-260511-00370,SHP-00007,2026-06-10,1,Product not as expected,3019.26
SHP-RET-00061,SHP-260814-00093,SHP-00112,2026-09-09,1,Defective product,1150.76
SHP-RET-00062,SHP-260810-00131,SHP-00015,2026-08-23,4,Product not as expected,2199.32
SHP-RET-00063,SHP-260811-00006,SHP-00008,2026-08-15,1,Defective product,2614.03
SHP-RET-00064,SHP-260515-00334,SHP-00068,2026-06-11,1,Duplicate purchase,4610.43
SHP-RET-00065,SHP-260619-00088,SHP-00113,2026-07-05,2,Product not as expected,5289.46
SHP-RET-00066,SHP-260511-00173,SHP-00083,2026-05-20,1,Wrong item received,3379.2
SHP-RET-00067,SHP-260816-00011,SHP-00097,2026-08-30,1,Size or fit issue,1482.51
SHP-RET-00068,SHP-260628-00120,SHP-00061,2026-07-19,2,Missing accessory,4458.89
SHP-RET-00069,SHP-260711-00057,SHP-00099,2026-07-22,1,Missing accessory,465.8
SHP-RET-00070,SHP-260506-00151,SHP-00051,2026-05-22,1,Defective product,747.1
SHP-RET-00071,SHP-260825-00092,SHP-00011,2026-09-22,2,Product not as expected,4044.53
SHP-RET-00072,SHP-260825-00094,SHP-00088,2026-09-02,1,Size or fit issue,1574.39
SHP-RET-00073,SHP-260619-00207,SHP-00084,2026-07-02,2,Wrong item received,2923.97
SHP-RET-00074,SHP-260502-00222,SHP-00033,2026-05-17,1,Late delivery,429.86
SHP-RET-00075,SHP-260703-00387,SHP-00068,2026-07-27,1,Damaged in transit,3670.3
SHP-RET-00076,SHP-260707-00024,SHP-00005,2026-07-10,2,Wrong item received,4328.59
SHP-RET-00077,SHP-260601-00051,SHP-00071,2026-06-14,1,Customer changed mind,1646.32
SHP-RET-00078,SHP-260525-00331,SHP-00023,2026-06-15,1,Product not as expected,4044.35
SHP-RET-00079,SHP-260730-00392,SHP-00027,2026-08-14,3,Size or fit issue,1556.24
SHP-RET-00080,SHP-260816-00255,SHP-00035,2026-09-15,1,Defective product,2983.72
SHP-RET-00081,SHP-260806-00005,SHP-00101,2026-09-05,2,Size or fit issue,2328.11
SHP-RET-00082,SHP-260507-00154,SHP-00019,2026-05-28,1,Quality concern,1936.45
SHP-RET-00083,SHP-260715-00344,SHP-00074,2026-08-10,1,Defective product,1150.89
SHP-RET-00084,SHP-260601-00061,SHP-00063,2026-06-13,1,Product not as expected,251.02
SHP-RET-00085,SHP-260703-00047,SHP-00091,2026-07-28,1,Defective product,1202.98
SHP-RET-00086,SHP-260625-00167,SHP-00094,2026-07-22,1,Damaged in transit,2890.77
SHP-RET-00087,SHP-260716-00028,SHP-00106,2026-07-28,1,Missing accessory,1498.67
SHP-RET-00088,SHP-260806-00116,SHP-00011,2026-08-20,2,Product not as expected,4270.15
SHP-RET-00089,SHP-260518-00394,SHP-00103,2026-06-08,1,Wrong item received,1244.14
SHP-RET-00090,SHP-260615-00377,SHP-00012,2026-06-24,1,Missing accessory,958.06
SHP-RET-00091,SHP-260722-00376,SHP-00002,2026-08-19,2,Quality concern,5840.63
SHP-RET-00092,SHP-260525-00220,SHP-00025,2026-05-29,1,Quality concern,1240.77
SHP-RET-00093,SHP-260828-00316,SHP-00005,2026-09-05,1,Missing accessory,2066.71
SHP-RET-00094,SHP-260710-00195,SHP-00056,2026-07-14,1,Quality concern,2492.2
SHP-RET-00095,SHP-260620-00010,SHP-00067,2026-07-19,1,Wrong item received,1557.27
SHP-RET-00096,SHP-260604-00013,SHP-00026,2026-06-26,4,Defective product,5223.12
SHP-RET-00097,SHP-260529-00221,SHP-00008,2026-06-23,2,Missing accessory,4977.16
SHP-RET-00098,SHP-260708-00361,SHP-00010,2026-07-20,2,Size or fit issue,4886.06
SHP-RET-00099,SHP-260727-00077,SHP-00011,2026-08-15,1,Product not as expected,1846.84
SHP-RET-00100,SHP-260604-00337,SHP-00052,2026-07-02,1,Quality concern,944.78
SHP-RET-00101,SHP-260603-00046,SHP-00119,2026-06-26,1,Quality concern,4027.58
SHP-RET-00102,SHP-260629-00345,SHP-00058,2026-07-25,1,Damaged in transit,877.91
SHP-RET-00103,SHP-260516-00205,SHP-00055,2026-05-30,1,Late delivery,1517.52
SHP-RET-00104,SHP-260609-00041,SHP-00119,2026-06-25,1,Customer changed mind,3421.98
SHP-RET-00105,SHP-260606-00400,SHP-00082,2026-06-29,3,Size or fit issue,7323.28
SHP-RET-00106,SHP-260707-00021,SHP-00084,2026-08-06,2,Duplicate purchase,2797.34
SHP-RET-00107,SHP-260808-00304,SHP-00097,2026-08-23,1,Defective product,1388.82
SHP-RET-00108,SHP-260730-00111,SHP-00028,2026-08-09,1,Size or fit issue,1670.25
SHP-RET-00109,SHP-260606-00121,SHP-00061,2026-06-29,1,Wrong item received,2328.43
SHP-RET-00110,SHP-260719-00186,SHP-00048,2026-08-06,2,Product not as expected,2739.18
SHP-RET-00111,SHP-260725-00241,SHP-00051,2026-08-21,1,Late delivery,615.55
SHP-RET-00112,SHP-260810-00114,SHP-00019,2026-08-15,1,Customer changed mind,1915.87
SHP-RET-00113,SHP-260701-00169,SHP-00066,2026-07-08,1,Wrong item received,731.6
SHP-RET-00114,SHP-260826-00012,SHP-00085,2026-09-19,2,Defective product,1695.28
SHP-RET-00115,SHP-260507-00211,SHP-00014,2026-06-04,1,Product not as expected,3305.53
SHP-RET-00116,SHP-260705-00320,SHP-00118,2026-07-27,1,Defective product,1158.66
SHP-RET-00117,SHP-260825-00044,SHP-00040,2026-09-23,1,Size or fit issue,1526.53
SHP-RET-00118,SHP-260604-00055,SHP-00079,2026-06-27,1,Quality concern,1961.49
SHP-RET-00119,SHP-260729-00362,SHP-00081,2026-08-19,1,Late delivery,329.93
SHP-RET-00120,SHP-260827-00043,SHP-00050,2026-09-12,1,Damaged in transit,3068.59
